n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,n_sims
40,250,2500,0.8,0.8,0.009912299793487728,103.57153606374102,117.91381677303204,125.92547308196869,0,55,0,445,500
40,250,2500,0.8,0.8,0.020076306911179623,24.1082189138168,50.17307594594496,48.00171890229278,0,65,0,435,NA
40,250,2500,0.8,0.8,0.030014421461553767,-7.4537179940103,17.814109794218584,19.50257105586506,0,55,0,445,NA
40,250,2500,0.8,0.8,0.03984382321137399,-19.721632864119456,6.117560136426026,10.16746544979394,0,47,0,453,NA
40,250,2500,0.8,0.8,0.04999999597153313,-18.598478069248284,11.079758769966348,13.326009350173672,0,47,0,453,NA
40,250,2500,0.8,0.8,0.05995028303745747,-24.00328103252172,3.5369282918450566,7.624951577687926,0,58,0,442,NA
40,250,2500,0.8,0.8,0.07004357654639723,-23.632603080941156,6.3596413340609965,9.367974990965395,0,45,0,455,NA
40,250,2500,0.8,0.8,0.07985389946003679,-26.4015595051414,2.1264738707456003,5.903095576511566,0,51,0,449,NA
40,250,2500,0.8,0.8,0.09005769599673488,-30.179155398090185,-1.5540341701987797,2.0056984554512756,0,52,0,448,NA
40,250,2500,0.8,0.8,0.10092145976379437,-31.295953837090885,-1.9988314021931557,0.4589099329518977,0,53,0,447,NA
40,250,2500,0.8,0.8,0.11010460386102104,-29.876376071639204,0.49177526478209127,3.3582654417867914,0,59,0,441,NA
40,250,2500,0.8,0.8,0.11995767669210997,-26.94013314012299,1.8682522954946263,5.490758303267152,0,53,0,447,NA
40,250,2500,0.8,0.8,0.1299855839797041,-32.53230846374654,-2.735971699214044,-0.2086539039273224,0,63,0,437,NA
40,250,2500,0.8,0.8,0.14011042979399077,-31.636797521829298,-1.4042355870304786,1.0218630080404976,0,46,0,454,NA
40,250,2500,0.8,0.8,0.15025204503364473,-28.733721072903556,2.157391917465059,3.1026544495769097,0,55,0,445,NA
40,250,2500,0.8,0.8,0.16032946675383158,-30.287939632747523,-0.7326120094509188,0.8370668481766774,0,59,0,441,NA
