n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
30,3000,20000,0.8,1,0.3,-39.4440392,0.017931557,0.017176318,0.0099,0.930208426,0.029894704,0.028600175,0.9156,0,0,10000,NA
300,300,500,0.8,0.8,0.05,-18.18220208,0.037744183,0.048666246,0.985,9.159858901,0.045305575,0.054338622,0.97,0,0,10000,NA
300,300,500,0.8,0.8,0.3,-40.26741001,0.047616424,0.047447218,0.2635,-0.188790023,0.054748117,0.054344544,0.948,0,0,10000,NA
300,300,500,0.8,0.95,0.05,-29.18186872,0.021258682,0.022660001,0.9332,0.231316112,0.026531317,0.027323387,0.9667,0,0,10000,NA
300,300,500,0.8,0.95,0.3,-40.02845934,0.027538507,0.027535837,0.0115,-0.025628797,0.037925691,0.037864635,0.9482,0,0,10000,NA
300,300,500,0.8,1,0.05,-30.12586236,0.009324311,0.009187185,0.5872,-0.248389685,0.015555909,0.015253167,0.919,0,0,10000,NA
300,300,500,0.8,1,0.3,-39.87168489,0.020607817,0.020293451,4.00E-04,0.273373721,0.033091127,0.032930924,0.9442,0,0,10000,NA
300,300,5000,0.8,0.8,0.05,-22.54493827,0.031860969,0.038632815,0.9797,2.884856095,0.034923561,0.038914896,0.958,0,0,10000,NA
300,300,5000,0.8,0.8,0.3,-40.08557266,0.034222388,0.034318969,0.0296,0.092711284,0.032799228,0.032869083,0.9493,0,0,10000,NA
300,300,5000,0.8,0.95,0.05,-30.14801108,0.016532198,0.016972632,0.9075,-0.563649133,0.017609728,0.017493015,0.9426,0,0,10000,NA
300,300,5000,0.8,0.95,0.3,-39.98746517,0.01691011,0.016551952,0,0.046814177,0.018915173,0.018596095,0.9493,0,0,10000,NA
300,300,5000,0.8,1,0.05,-29.96203881,0.003105036,0.003087517,0.0067,0.090604369,0.005121229,0.005100887,0.9465,0,0,10000,NA
300,300,5000,0.8,1,0.3,-39.92469548,0.008152531,0.008116595,0,0.146540049,0.013396529,0.013302989,0.9482,0,0,10000,NA
300,300,20000,0.8,0.8,0.05,-24.1730961,0.030810677,0.037766042,0.9825,1.699280923,0.033403148,0.037422204,0.959,0,0,10000,NA
300,300,20000,0.8,0.8,0.3,-40.13235877,0.033168095,0.032962179,0.0152,-0.018246138,0.030459911,0.030367949,0.9497,0,0,10000,NA
300,300,20000,0.8,0.95,0.05,-30.12240517,0.0157684,0.016379835,0.9104,-0.449002043,0.016167583,0.016362616,0.9406,0,0,10000,NA
300,300,20000,0.8,0.95,0.3,-39.94611615,0.015265917,0.015273565,0,0.080836864,0.015824247,0.015961529,0.9528,0,0,10000,NA
300,300,20000,0.8,1,0.05,-29.98681175,0.001784608,0.001775581,0,0.02104795,0.002850023,0.002842618,0.9505,0,0,10000,NA
300,300,20000,0.8,1,0.3,-39.98028324,0.006079549,0.006059794,0,0.030826806,0.010029828,0.010023949,0.9468,0,0,10000,NA
300,3000,500,0.8,0.8,0.05,-24.66052728,0.029105041,0.033133296,0.9922,3.842494414,0.038020436,0.041387242,0.9801,0,0,10000,NA
300,3000,500,0.8,0.8,0.3,-39.99538223,0.036173745,0.036550385,0.1012,-0.090518774,0.04769464,0.04774125,0.9488,0,0,10000,NA
300,3000,500,0.8,0.95,0.05,-29.71769963,0.016472302,0.016659076,0.8273,0.450291979,0.02285572,0.022725588,0.937,0,0,10000,NA
300,3000,500,0.8,0.95,0.3,-39.97988385,0.024463526,0.024196125,0.0039,-0.01448008,0.036401958,0.03613661,0.9478,0,0,10000,NA
300,3000,500,0.8,1,0.05,-30.11123917,0.009327054,0.009185302,0.5875,-0.157936793,0.015814942,0.015250907,0.9151,0,0,10000,NA
300,3000,500,0.8,1,0.3,-39.99456711,0.020446929,0.020283657,4.00E-04,0.208853354,0.033301412,0.032951763,0.9453,0,0,10000,NA
300,3000,5000,0.8,0.8,0.05,-29.76287049,0.01526941,0.015379526,0.8442,0.078372019,0.017191778,0.017220111,0.949,0,0,10000,NA
300,3000,5000,0.8,0.8,0.3,-39.94520979,0.0164589,0.016372101,0,0.197349448,0.020551224,0.020416345,0.9515,0,0,10000,NA
300,3000,5000,0.8,0.95,0.05,-29.88654914,0.007166787,0.007250092,0.461,0.151087302,0.008668237,0.008791231,0.9532,0,0,10000,NA
300,3000,5000,0.8,0.95,0.3,-39.91650894,0.010140903,0.01019579,0,0.144428323,0.014902941,0.014882444,0.9504,0,0,10000,NA
300,3000,5000,0.8,1,0.05,-29.90613647,0.003100525,0.003088806,0.0078,0.153881479,0.005144387,0.005101634,0.9479,0,0,10000,NA
300,3000,5000,0.8,1,0.3,-39.92407706,0.008157853,0.008114338,0,0.135009206,0.013282483,0.013299252,0.953,0,0,10000,NA
300,3000,20000,0.8,0.8,0.05,-30.44567236,0.012746746,0.012831598,0.7932,-0.467584302,0.01328782,0.013336975,0.9525,0,0,10000,NA
300,3000,20000,0.8,0.8,0.3,-39.98530608,0.013571731,0.013358153,0,0.086162976,0.016380784,0.016119261,0.9482,0,0,10000,NA
300,3000,20000,0.8,0.95,0.05,-30.02097533,0.005819048,0.005812462,0.2551,-0.014623911,0.006360751,0.006347156,0.9495,0,0,10000,NA
300,3000,20000,0.8,0.95,0.3,-39.97012823,0.007939382,0.007961142,0,0.088894957,0.011469651,0.011404797,0.9486,0,0,10000,NA
300,3000,20000,0.8,1,0.05,-29.97334354,0.001783854,0.001776235,0,0.022509014,0.0028363,0.0028433,0.9495,0,0,10000,NA
300,3000,20000,0.8,1,0.3,-39.95597876,0.006027035,0.006068134,0,0.061650784,0.010016437,0.010037336,0.9513,0,0,10000,NA
3000,300,500,0.8,0.8,0.05,-18.10932422,0.037704678,0.048561946,0.9849,9.058094011,0.045355245,0.054213993,0.969,0,0,10000,NA
3000,300,500,0.8,0.8,0.3,-40.26482807,0.046917318,0.046896191,0.2467,-0.245855169,0.052796322,0.05307919,0.9518,0,0,10000,NA
3000,300,500,0.8,0.95,0.05,-29.15891884,0.021230252,0.022628183,0.9377,0.00977122,0.026605153,0.027263798,0.9676,0,0,10000,NA
3000,300,500,0.8,0.95,0.3,-40.11237531,0.02685249,0.026972097,0.0061,-0.176416997,0.036494704,0.036755652,0.9521,0,0,10000,NA
3000,300,500,0.8,1,0.05,-29.88261227,0.009228245,0.009148854,0.5873,0.277545192,0.015469213,0.015227414,0.9187,0,0,10000,NA
3000,300,500,0.8,1,0.3,-39.9749977,0.019757017,0.019659793,1.00E-04,-0.064816886,0.03160305,0.031811684,0.948,0,0,10000,NA
3000,300,5000,0.8,0.8,0.05,-23.60945919,0.031167134,0.038607602,0.9825,2.111549062,0.034272175,0.038866314,0.9586,0,0,10000,NA
3000,300,5000,0.8,0.8,0.3,-40.59938785,0.033941724,0.033698908,0.013,-0.528369922,0.031155561,0.030974755,0.9518,0,0,10000,NA
3000,300,5000,0.8,0.95,0.05,-29.96226798,0.016477153,0.016898064,0.9098,-0.328828226,0.0173824,0.017387123,0.9419,0,0,10000,NA
3000,300,5000,0.8,0.95,0.3,-40.10246883,0.015761404,0.015677619,0,-0.097347044,0.016367125,0.016366035,0.9486,0,0,10000,NA
3000,300,5000,0.8,1,0.05,-29.99611162,0.002972894,0.002931198,0.0021,0.007878686,0.004934388,0.004906878,0.9469,0,0,10000,NA
3000,300,5000,0.8,1,0.3,-39.99985211,0.006459417,0.006419565,0,-0.03455003,0.01032591,0.01041002,0.9504,0,0,10000,NA
3000,300,20000,0.8,0.8,0.05,-23.14418537,0.031040064,0.037618648,0.9804,2.473079382,0.033738955,0.037256777,0.9554,0,0,10000,NA
3000,300,20000,0.8,0.8,0.3,-40.46807923,0.032503952,0.032301601,0.0062,-0.400336513,0.02846424,0.028297155,0.9493,0,0,10000,NA
3000,300,20000,0.8,0.95,0.05,-30.44073003,0.016051269,0.016344049,0.9048,-0.798369064,0.016498017,0.016291495,0.9372,0,0,10000,NA
3000,300,20000,0.8,0.95,0.3,-40.04957306,0.014249085,0.014290473,0,-0.038407358,0.013224645,0.013264227,0.9454,0,0,10000,NA
3000,300,20000,0.8,1,0.05,-29.97889803,0.001483787,0.001492784,0,0.077452128,0.002489009,0.002489347,0.9509,0,0,10000,NA
