n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,n_sims
30,300,500,0.95,0.95,0.05,0.571440093160111,NA
30,300,500,0.95,0.95,0.3,0.24304076546346107,NA
30,300,500,0.95,1,0.005,-0.08266426107617769,NA
30,300,500,0.95,1,0.05,0.5666402223797329,NA
30,300,500,0.95,1,0.3,0.23708270422898953,NA
30,300,500,1,0.8,0.005,241.5810375258566,NA
30,300,500,1,0.8,0.05,1.3469679164989783,NA
30,300,500,1,0.8,0.3,-0.24287838818282115,NA
30,300,500,1,0.95,0.005,91.67854105398132,NA
30,300,500,1,0.95,0.05,-0.07566801453456895,NA
30,300,500,1,0.95,0.3,0.02170795137768078,NA
30,300,500,1,1,0.005,0.2960000000000809,NA
30,300,500,1,1,0.05,-0.16239999999992372,NA
30,300,500,1,1,0.3,-0.03966666666664158,NA
30,300,5000,0.8,0.8,0.005,259.8162215990832,NA
30,300,5000,0.8,0.8,0.05,3.5307849589428786,NA
30,300,5000,0.8,0.8,0.3,1.0645654272840033,NA
30,300,5000,0.8,0.95,0.005,94.95354961391823,NA
30,300,5000,0.8,0.95,0.05,0.36241968396463764,NA
30,300,5000,0.8,0.95,0.3,1.028185803773026,NA
30,300,5000,0.8,1,0.005,0.8270798724066205,NA
30,300,5000,0.8,1,0.05,0.8552978187728183,NA
30,300,5000,0.8,1,0.3,0.8547508933212655,NA
30,300,5000,0.95,0.8,0.005,198.8196018753916,NA
30,300,5000,0.95,0.8,0.05,0.09122605712690024,NA
30,300,5000,0.95,0.8,0.3,0.09250589910499615,NA
30,300,5000,0.95,0.95,0.005,73.26899052745482,NA
30,300,5000,0.95,0.95,0.05,0.013736704878475336,NA
30,300,5000,0.95,0.95,0.3,0.1588656064297663,NA
30,300,5000,0.95,1,0.005,0.6714405288929005,NA
30,300,5000,0.95,1,0.05,0.40716295306558736,NA
30,300,5000,0.95,1,0.3,0.14629839252157847,NA
30,300,5000,1,0.8,0.005,177.66362582657297,NA
30,300,5000,1,0.8,0.05,-1.3577184168652445,NA
30,300,5000,1,0.8,0.3,-0.24742278455763822,NA
30,300,5000,1,0.95,0.005,66.61592566669196,NA
30,300,5000,1,0.95,0.05,-0.3092331925860087,NA
30,300,5000,1,0.95,0.3,-0.05940385579411567,NA
30,300,5000,1,1,0.005,-0.28320000000015694,NA
30,300,5000,1,1,0.05,-0.07796000000000192,NA
30,300,5000,1,1,0.3,0.01427333333333299,NA
30,300,20000,0.8,0.8,0.005,255.3188826885153,NA
30,300,20000,0.8,0.8,0.05,3.2019653581594056,NA
30,300,20000,0.8,0.8,0.3,1.4459551490378364,NA
30,300,20000,0.8,0.95,0.005,90.1104927233322,NA
30,300,20000,0.8,0.95,0.05,-0.08455384570728308,NA
30,300,20000,0.8,0.95,0.3,0.9509122300812949,NA
30,300,20000,0.8,1,0.005,0.7491527261010468,NA
30,300,20000,0.8,1,0.05,0.920915509646833,NA
30,300,20000,0.8,1,0.3,0.8087834108368072,NA
30,300,20000,0.95,0.8,0.005,190.98640316390856,NA
30,300,20000,0.95,0.8,0.05,0.15183629015849687,NA
30,300,20000,0.95,0.8,0.3,0.04224906653347664,NA
30,300,20000,0.95,0.95,0.005,65.35970861099088,NA
30,300,20000,0.95,0.95,0.05,0.021076833654015692,NA
30,300,20000,0.95,0.95,0.3,0.13673536018878515,NA
30,300,20000,0.95,1,0.005,0.2010473542898676,NA
30,300,20000,0.95,1,0.05,0.20171542870962844,NA
30,300,20000,0.95,1,0.3,0.14498597574532276,NA
30,300,20000,1,0.8,0.005,180.34342675073776,NA
30,300,20000,1,0.8,0.05,0.1461105861923495,NA
30,300,20000,1,0.8,0.3,-0.23136076045315868,NA
30,300,20000,1,0.95,0.005,63.167117077809216,NA
30,300,20000,1,0.95,0.05,0.2064059324314027,NA
30,300,20000,1,0.95,0.3,-0.027246833367596444,NA
30,300,20000,1,1,0.005,0.11639999999998527,NA
30,300,20000,1,1,0.05,0.00968999999999276,NA
30,300,20000,1,1,0.3,-0.022043333333332527,NA
30,3000,500,0.8,0.8,0.005,221.04472270011962,NA
30,3000,500,0.8,0.8,0.05,2.795534130985974,NA
30,3000,500,0.8,0.8,0.3,1.5192819365894377,NA
30,3000,500,0.8,0.95,0.005,71.52390885279398,NA
30,3000,500,0.8,0.95,0.05,0.9273800608220195,NA
30,3000,500,0.8,0.95,0.3,1.1943222467416341,NA
30,3000,500,0.8,1,0.005,0.2365645198625435,NA
30,3000,500,0.8,1,0.05,0.798461144142823,NA
30,3000,500,0.8,1,0.3,0.7326912074814285,NA
30,3000,500,0.95,0.8,0.005,157.05601052305667,NA
30,3000,500,0.95,0.8,0.05,1.7222087940837598,NA
30,3000,500,0.95,0.8,0.3,0.17803951084790123,NA
30,3000,500,0.95,0.95,0.005,51.56343782430914,NA
30,3000,500,0.95,0.95,0.05,0.5097281734596643,NA
30,3000,500,0.95,0.95,0.3,0.004271697464937793,NA
30,3000,500,0.95,1,0.005,-0.02473300379439436,NA
30,3000,500,0.95,1,0.05,0.04871305950762683,NA
30,3000,500,0.95,1,0.3,0.31595730364366215,NA
30,3000,500,1,0.8,0.005,147.74564057488936,NA
30,3000,500,1,0.8,0.05,0.6179818713276664,NA
30,3000,500,1,0.8,0.3,0.07897830838928441,NA
30,3000,500,1,0.95,0.005,51.044438660493796,NA
30,3000,500,1,0.95,0.05,-0.07521739423753393,NA
30,3000,500,1,0.95,0.3,-0.04246502394691006,NA
30,3000,500,1,1,0.005,1.0640000000000822,NA
30,3000,500,1,1,0.05,0.17240000000008637,NA
30,3000,500,1,1,0.3,-0.040266666666640326,NA
30,3000,5000,0.8,0.8,0.005,83.82694470249427,NA
30,3000,5000,0.8,0.8,0.05,0.8981978084502962,NA
30,3000,5000,0.8,0.8,0.3,1.6598117731541815,NA
30,3000,5000,0.8,0.95,0.005,18.345550632136113,NA
30,3000,5000,0.8,0.95,0.05,1.0298116771346733,NA
30,3000,5000,0.8,0.95,0.3,1.0914592680192718,NA
30,3000,5000,0.8,1,0.005,0.921405949727231,NA
30,3000,5000,0.8,1,0.05,1.0138305927474138,NA
30,3000,5000,0.8,1,0.3,0.8107122071955668,NA
30,3000,5000,0.95,0.8,0.005,54.08854447295784,NA
30,3000,5000,0.95,0.8,0.05,0.1760877921153925,NA
30,3000,5000,0.95,0.8,0.3,0.19548410963680468,NA
30,3000,5000,0.95,0.95,0.005,13.822121610852777,NA
30,3000,5000,0.95,0.95,0.05,0.39713939843796786,NA
30,3000,5000,0.95,0.95,0.3,0.2379098869302136,NA
30,3000,5000,0.95,1,0.005,-0.009830936473290142,NA
30,3000,5000,0.95,1,0.05,0.21728134546646072,NA
30,3000,5000,0.95,1,0.3,0.15499745024834718,NA
30,3000,5000,1,0.8,0.005,49.81072239236198,NA
30,3000,5000,1,0.8,0.05,-0.19406177997390028,NA
30,3000,5000,1,0.8,0.3,0.023267182689745702,NA
30,3000,5000,1,0.95,0.005,9.308815307032345,NA
30,3000,5000,1,0.95,0.05,-0.3153980819229213,NA
30,3000,5000,1,0.95,0.3,-9.4598929486119e-5,NA
30,3000,5000,1,1,0.005,-0.10120000000012758,NA
30,3000,5000,1,1,0.05,-0.0646800000000114,NA
30,3000,5000,1,1,0.3,0.021699999999994873,NA
30,3000,20000,0.8,0.8,0.005,58.877920611208246,NA
30,3000,20000,0.8,0.8,0.05,1.576522822991852,NA
30,3000,20000,0.8,0.8,0.3,1.602993885885362,NA
30,3000,20000,0.8,0.95,0.005,12.600904213063668,NA
30,3000,20000,0.8,0.95,0.05,1.0520267990147547,NA
30,3000,20000,0.8,0.95,0.3,1.0247268642208374,NA
30,3000,20000,0.8,1,0.005,1.0738859266281457,NA
30,3000,20000,0.8,1,0.05,0.7922705709837996,NA
