n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
30,3000,500,0.8,1,0.3,-39.35659499361988,1.2965928328344534,0,0,1000,NA
30,3000,5000,0.8,0.8,0.05,-25.736953844348335,4.607723888197329,0,0,1000,NA
30,3000,5000,0.8,0.8,0.3,-38.38701771676102,2.770831471107127,0,0,1000,NA
30,3000,5000,0.8,0.95,0.05,-29.133413160117723,1.1438772079414294,0,0,1000,NA
30,3000,5000,0.8,0.95,0.3,-39.514581019401184,0.8802619968599212,0,0,1000,NA
30,3000,5000,0.8,1,0.05,-29.3894988467803,0.9319398000856571,0,0,1000,NA
30,3000,5000,0.8,1,0.3,-39.525697686011185,0.8522650002308712,0,0,1000,NA
30,3000,20000,0.8,0.8,0.05,-29.437649762831043,1.0784305579366327,0,0,1000,NA
30,3000,20000,0.8,0.8,0.3,-38.84605479018478,1.6504107608792582,0,0,1000,NA
30,3000,20000,0.8,0.95,0.05,-28.853080692612554,1.5732880054770693,0,0,1000,NA
30,3000,20000,0.8,0.95,0.3,-39.87473571765581,0.22322965120437818,0,0,1000,NA
30,3000,20000,0.8,1,0.05,-28.972260215516354,1.508447481178593,0,0,1000,NA
30,3000,20000,0.8,1,0.3,-39.605242873450614,0.615150367207884,0,0,1000,NA
300,300,500,0.8,0.8,0.05,-19.19984767699949,8.985735040572123,0,0,1000,NA
300,300,500,0.8,0.8,0.3,-40.60745662051654,-0.34393587816367033,0,0,1000,NA
300,300,500,0.8,0.95,0.05,-28.064162460228843,2.428732943932407,0,0,1000,NA
300,300,500,0.8,0.95,0.3,-40.166225515210634,-0.18058885597871388,0,0,1000,NA
300,300,500,0.8,1,0.05,-30.1474922641488,-0.33695323253933596,0,0,1000,NA
300,300,500,0.8,1,0.3,-39.67425550096418,0.4118177119093273,0,0,1000,NA
300,300,5000,0.8,0.8,0.05,-23.03256969423402,3.031053118682403,0,0,1000,NA
300,300,5000,0.8,0.8,0.3,-40.76373305636146,-0.8102191687605991,0,0,1000,NA
300,300,5000,0.8,0.95,0.05,-31.79536354749758,-1.8171850308011661,0,0,1000,NA
300,300,5000,0.8,0.95,0.3,-39.986370345819594,0.0029514743531781447,0,0,1000,NA
300,300,5000,0.8,1,0.05,-29.722987020559806,0.4660645714287537,0,0,1000,NA
300,300,5000,0.8,1,0.3,-40.003699604294766,0.05433076201007599,0,0,1000,NA
300,300,20000,0.8,0.8,0.05,-26.04851850859735,-0.8127714792199314,0,0,1000,NA
300,300,20000,0.8,0.8,0.3,-40.31801302234532,-0.26774463080854927,0,0,1000,NA
300,300,20000,0.8,0.95,0.05,-32.117532924350485,-2.2549694943936465,0,0,1000,NA
