n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi
30,300,500,1,1,0.05,-0.15479999999991334
30,300,500,1,1,0.3,-0.03633333333332341
30,300,5000,0.7,0.7,0.005,483.7150311952831
30,300,5000,0.7,0.7,0.05,17.72483069259624
30,300,5000,0.7,0.7,0.3,4.696170576603376
30,300,5000,0.7,0.95,0.005,116.83780338419469
30,300,5000,0.7,0.95,0.05,1.3283392787301755
30,300,5000,0.7,0.95,0.3,1.800982629214798
30,300,5000,0.7,1,0.005,1.1993830671151728
30,300,5000,0.7,1,0.05,1.6575798556580783
30,300,5000,0.7,1,0.3,1.7239823815372035
30,300,5000,0.95,0.7,0.005,277.12915938263995
30,300,5000,0.95,0.7,0.05,3.8177902366015037
30,300,5000,0.95,0.7,0.3,0.1215518928273096
30,300,5000,0.95,0.95,0.005,75.31132041675137
30,300,5000,0.95,0.95,0.05,0.05082913007221912
30,300,5000,0.95,0.95,0.3,0.13581945409048743
30,300,5000,0.95,1,0.005,0.6564128229656456
30,300,5000,0.95,1,0.05,0.42009359084560494
30,300,5000,0.95,1,0.3,0.16802515179141037
30,300,5000,1,0.7,0.005,251.13257937459403
30,300,5000,1,0.7,0.05,2.2642204678400555
30,300,5000,1,0.7,0.3,-0.4742739929187908
30,300,5000,1,0.95,0.005,67.20788861314173
30,300,5000,1,0.95,0.05,-0.24546734070683696
30,300,5000,1,0.95,0.3,-0.018211269168696052
30,300,5000,1,1,0.005,-0.2852000000001277
30,300,5000,1,1,0.05,-0.07688000000000139
30,300,5000,1,1,0.3,0.014346666666664731
30,300,20000,0.7,0.7,0.005,460.6682510302967
30,300,20000,0.7,0.7,0.05,16.789479324994055
30,300,20000,0.7,0.7,0.3,4.120141872762403
30,300,20000,0.7,0.95,0.005,117.20329538812508
30,300,20000,0.7,0.95,0.05,0.9914661006456549
30,300,20000,0.7,0.95,0.3,1.87120875916282
30,300,20000,0.7,1,0.005,1.3922129638439285
30,300,20000,0.7,1,0.05,1.6013393174116457
30,300,20000,0.7,1,0.3,1.4791206972510906
30,300,20000,0.95,0.7,0.005,260.5117100962231
30,300,20000,0.95,0.7,0.05,2.2480958479727806
30,300,20000,0.95,0.7,0.3,0.09555300162333857
30,300,20000,0.95,0.95,0.005,73.83278408676938
30,300,20000,0.95,0.95,0.05,0.032495829625167616
30,300,20000,0.95,0.95,0.3,0.1827659455589011
30,300,20000,0.95,1,0.005,0.12732467216855156
30,300,20000,0.95,1,0.05,0.13643193317151858
30,300,20000,0.95,1,0.3,0.14425811933147886
30,300,20000,1,0.7,0.005,250.47900938609507
30,300,20000,1,0.7,0.05,1.1163484761646107
30,300,20000,1,0.7,0.3,-0.3254384963939187
30,300,20000,1,0.95,0.005,63.85452376794556
30,300,20000,1,0.95,0.05,-0.32067016357477385
30,300,20000,1,0.95,0.3,-0.03531041529806582
30,300,20000,1,1,0.005,0.11409999999998158
30,300,20000,1,1,0.05,0.009179999999997523
30,300,20000,1,1,0.3,-0.022093333333324715
30,3000,500,0.7,0.7,0.005,429.97138836238474
30,3000,500,0.7,0.7,0.05,16.746246361577093
30,3000,500,0.7,0.7,0.3,5.420859104748673
30,3000,500,0.7,0.95,0.005,93.31975427344359
30,3000,500,0.7,0.95,0.05,1.621787714998199
30,3000,500,0.7,0.95,0.3,1.763156729373309
30,3000,500,0.7,1,0.005,1.2169000174845797
30,3000,500,0.7,1,0.05,1.837877589190337
30,3000,500,0.7,1,0.3,1.3894797951667925
30,3000,500,0.95,0.7,0.005,228.08871429129942
30,3000,500,0.95,0.7,0.05,2.0983089187197184
30,3000,500,0.95,0.7,0.3,0.6042274149483847
30,3000,500,0.95,0.95,0.005,56.061670924143456
30,3000,500,0.95,0.95,0.05,0.6169641539667675
30,3000,500,0.95,0.95,0.3,0.22922573430433912
30,3000,500,0.95,1,0.005,0.046582190589769534
30,3000,500,0.95,1,0.05,0.12560744473592844
30,3000,500,0.95,1,0.3,0.34386952541435684
30,3000,500,1,0.7,0.005,204.09051504052587
30,3000,500,1,0.7,0.05,1.971125460842729
30,3000,500,1,0.7,0.3,0.05977106119251878
30,3000,500,1,0.95,0.005,50.76985211039041
30,3000,500,1,0.95,0.05,-0.13999220112283217
30,3000,500,1,0.95,0.3,-0.03803947336626183
30,3000,500,1,1,0.005,1.056000000000095
30,3000,500,1,1,0.05,0.1764000000000765
30,3000,500,1,1,0.3,-0.03699999999999075
30,3000,5000,0.7,0.7,0.005,172.46181506082675
30,3000,5000,0.7,0.7,0.05,4.449232292155061
30,3000,5000,0.7,0.7,0.3,4.90095562359825
30,3000,5000,0.7,0.95,0.005,25.58954070289412
30,3000,5000,0.7,0.95,0.05,1.6974411059405974
30,3000,5000,0.7,0.95,0.3,1.7293013550808887
30,3000,5000,0.7,1,0.005,1.5171058498900796
30,3000,5000,0.7,1,0.05,1.5182949965680537
30,3000,5000,0.7,1,0.3,1.563881315015984
30,3000,5000,0.95,0.7,0.005,88.94053871216894
30,3000,5000,0.95,0.7,0.05,0.0451966341410287
30,3000,5000,0.95,0.7,0.3,0.5202469094868952
30,3000,5000,0.95,0.95,0.005,12.45332249871455
30,3000,5000,0.95,0.95,0.05,0.2848721610816951
30,3000,5000,0.95,0.95,0.3,0.1925948111444753
30,3000,5000,0.95,1,0.005,0.003056762424499815
30,3000,5000,0.95,1,0.05,0.09385337951536843
30,3000,5000,0.95,1,0.3,0.14647457768796057
30,3000,5000,1,0.7,0.005,75.9260833887544
30,3000,5000,1,0.7,0.05,-0.25925069912685617
30,3000,5000,1,0.7,0.3,0.011703312971123037
30,3000,5000,1,0.95,0.005,9.39985586683175
30,3000,5000,1,0.95,0.05,-0.15513611951306627
30,3000,5000,1,0.95,0.3,0.0022121472943263205
30,3000,5000,1,1,0.005,-0.10960000000012973
30,3000,5000,1,1,0.05,-0.06044000000000882
30,3000,5000,1,1,0.3,0.022533333333333665
30,3000,20000,0.7,0.7,0.005,140.97768512517484
30,3000,20000,0.7,0.7,0.05,5.014468345822518
30,3000,20000,0.7,0.7,0.3,5.01425615581271
30,3000,20000,0.7,0.95,0.005,18.63416635987469
30,3000,20000,0.7,0.95,0.05,1.8056576239179194
30,3000,20000,0.7,0.95,0.3,2.0076047474383483
30,3000,20000,0.7,1,0.005,1.7261144744183319
30,3000,20000,0.7,1,0.05,1.7606039379260974
30,3000,20000,0.7,1,0.3,1.6612849891117591
30,3000,20000,0.95,0.7,0.005,63.02720021580882
30,3000,20000,0.95,0.7,0.05,0.0017373389124553107
30,3000,20000,0.95,0.7,0.3,0.47490435428946637
30,3000,20000,0.95,0.95,0.005,6.909127646503604
30,3000,20000,0.95,0.95,0.05,0.17974420918447087
30,3000,20000,0.95,0.95,0.3,0.22576213274029996
30,3000,20000,0.95,1,0.005,0.061633779945679396
30,3000,20000,0.95,1,0.05,0.1165203521220487
30,3000,20000,0.95,1,0.3,0.20327700525241132
30,3000,20000,1,0.7,0.005,55.92376934695763
30,3000,20000,1,0.7,0.05,-0.14567179973601352
30,3000,20000,1,0.7,0.3,-0.004755942377569304
30,3000,20000,1,0.95,0.005,5.073429795499889
30,3000,20000,1,0.95,0.05,-0.10644696882072813
30,3000,20000,1,0.95,0.3,-0.02383470941075272
30,3000,20000,1,1,0.005,0.04439999999997918
30,3000,20000,1,1,0.05,-0.0077700000000041625
30,3000,20000,1,1,0.3,0.0034950000000015065
300,30,500,0.7,0.7,0.005,1346.2797514648175
300,30,500,0.7,0.7,0.05,86.51414626923352
300,30,500,0.7,0.7,0.3,-6.510928024335153
300,30,500,0.7,0.95,0.005,428.7695058439479
300,30,500,0.7,0.95,0.05,15.453080652785166
300,30,500,0.7,0.95,0.3,-0.8621336520024022
300,30,500,0.7,1,0.005,0.2718345497652874
300,30,500,0.7,1,0.05,-0.2811958409051074
300,30,500,0.7,1,0.3,0.11428659626655513
300,30,500,0.95,0.7,0.005,873.3436270899405
300,30,500,0.95,0.7,0.05,45.92985764141224
300,30,500,0.95,0.7,0.3,-3.1862079263189442
300,30,500,0.95,0.95,0.005,309.837697819979
300,30,500,0.95,0.95,0.05,6.646495974666142
300,30,500,0.95,0.95,0.3,-0.36980629349995614
300,30,500,0.95,1,0.005,0.18451552519446052
300,30,500,0.95,1,0.05,0.2980629252918726
300,30,500,0.95,1,0.3,0.08491575640719637
300,30,500,1,0.7,0.005,798.6553880965284
300,30,500,1,0.7,0.05,42.4154052822952
300,30,500,1,0.7,0.3,-3.154456501645216
300,30,500,1,0.95,0.005,285.71322167487665
300,30,500,1,0.95,0.05,4.743503945097108
300,30,500,1,0.95,0.3,-0.31360074316931036
300,30,500,1,1,0.005,0.8040000000000824
300,30,500,1,1,0.05,-0.5531999999999204
300,30,500,1,1,0.3,0.037200000000015
300,30,5000,0.7,0.7,0.005,1325.6482144294566
300,30,5000,0.7,0.7,0.05,84.80551887760487
300,30,5000,0.7,0.7,0.3,-6.301306737369616
300,30,5000,0.7,0.95,0.005,416.6018625727885
300,30,5000,0.7,0.95,0.05,13.440535033179366
300,30,5000,0.7,0.95,0.3,-0.5637566240596822
300,30,5000,0.7,1,0.005,0.17377275211071658
300,30,5000,0.7,1,0.05,0.11119487901538327
300,30,5000,0.7,1,0.3,0.12086606122019283
300,30,5000,0.95,0.7,0.005,831.3443246570006
