n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi,hat_pi_st,hat_pi_mst,num_infinite_pi,num_infinite_pi_st,num_infinite_pi_mst,n_strata_obs_full
30,30,500,0.95,0.95,0.004999999948890896,268.0765797254024,NaN,298.140568173062,0,1000,0,0
30,30,500,0.95,0.95,0.05000000238954469,-17.627012414124902,NaN,12.23959099388675,0,1000,0,0
30,30,500,0.95,0.95,0.2999999902197356,-24.85570440609066,NaN,-0.0805890825704581,0,1000,0,0
30,30,500,0.95,1,0.004999999948890896,-34.264659510794225,NaN,8.981337992096195,0,1000,0,0
30,30,500,0.95,1,0.05000000238954469,-31.067335434144507,NaN,2.871483116636968,0,1000,0,0
30,30,500,0.95,1,0.2999999902197356,-24.66689053671103,NaN,-0.0998086977678324,0,1000,0,0
30,30,500,1,0.95,0.004999999948890896,273.54463436017807,NaN,301.448883726478,0,1000,0,0
30,30,500,1,0.95,0.05000000238954469,-17.86904388132413,NaN,13.307486018216014,0,1000,0,0
30,30,500,1,0.95,0.2999999902197356,-25.15875896103305,NaN,-0.3942432044687856,0,1000,0,0
30,30,500,1,1,0.004999999948890896,-34.19999932740413,NaN,9.770987303678439,0,1000,0,0
30,30,500,1,1,0.05000000238954469,-31.732003262588517,NaN,1.9090152317203832,0,1000,0,0
30,30,500,1,1,0.2999999902197356,-24.305330865620416,NaN,0.00785336926616613,0,1000,0,0
30,30,5000,0.95,0.95,0.004999999948890896,289.4744421017602,316.7608009286241,311.15024748669737,0,507,0,493
30,30,5000,0.95,0.95,0.05000000238954469,-21.1834447782347,5.739785874526458,7.404161498865699,0,519,0,481
30,30,5000,0.95,0.95,0.2999999902197356,-25.39787977380277,-0.5605633484058142,-0.6518881717567641,0,520,0,480
30,30,5000,0.95,1,0.004999999948890896,-32.658106599757595,2.587094291854673,2.0375025246955993,0,524,0,476
30,30,5000,0.95,1,0.05000000238954469,-32.573031250688665,-0.25082168059581655,-0.45938552071441624,0,517,0,483
30,30,5000,0.95,1,0.2999999902197356,-24.13790287426495,0.35191019765388604,0.34451816651617473,0,503,0,497
30,30,5000,1,0.95,0.004999999948890896,256.3565553667508,282.29888904297877,277.0921668687777,0,520,0,480
30,30,5000,1,0.95,0.05000000238954469,-19.969836337028315,7.976753110802366,9.04152035229279,0,526,0,474
30,30,5000,1,0.95,0.2999999902197356,-24.157099443724793,0.33765662990363565,0.5729565413686264,0,514,0,486
30,30,5000,1,1,0.004999999948890896,-33.31599931836834,-1.7256647449588818,0.3831659229255306,0,515,0,485
30,30,5000,1,1,0.05000000238954469,-32.63760321930916,0.17245394005887973,-0.5149026246435909,0,483,0,517
30,30,5000,1,1,0.2999999902197356,-24.45999753732935,-0.006867939381118827,0.037463752160973474,0,538,0,462
30,30,20000,0.95,0.95,0.004999999948890896,271.57600740906804,290.0802235722594,291.5078655613116,0,8,0,992
30,30,20000,0.95,0.95,0.05000000238954469,-18.877273121408766,7.217098675182932,9.551135749450797,0,8,0,992
30,30,20000,0.95,0.95,0.2999999902197356,-25.370715314919327,-0.6502498416613703,-0.4850322850116578,0,5,0,995
30,30,20000,0.95,1,0.004999999948890896,-33.30586548811007,0.15445992806558848,0.5205342105976268,0,7,0,993
30,30,20000,0.95,1,0.05000000238954469,-32.15273474094468,0.09282516939360468,-0.008017522212329157,0,12,0,988
30,30,20000,0.95,1,0.2999999902197356,-24.191241947931566,0.41706584613715236,0.3135606137822301,0,10,0,990
30,30,20000,1,0.95,0.004999999948890896,248.0068656262294,267.0108128117549,269.2559017025495,0,6,0,994
30,30,20000,1,0.95,0.05000000238954469,-20.171453322466743,5.907394298378082,8.589260102896196,0,8,0,992
30,30,20000,1,0.95,0.2999999902197356,-24.967978534190006,-0.4210364200596665,-0.17445592816514013,0,3,0,997
30,30,20000,1,1,0.004999999948890896,-33.46599931990146,-0.09029908904217399,0.24312709383949646,0,7,0,993
30,30,20000,1,1,0.05000000238954469,-32.29760323555806,-0.08194614190486686,-0.12198052305041701,0,5,0,995
30,30,20000,1,1,0.2999999902197356,-24.547364206844243,-0.0048985686146413585,-0.02211612085549793,0,11,0,989
30,300,500,0.95,0.95,0.004999999948890896,79.2930515701967,NaN,125.18780891539494,0,1000,0,0
30,300,500,0.95,0.95,0.05000000238954469,-31.158672892449598,NaN,4.151478611476943,0,1000,0,0
30,300,500,0.95,0.95,0.2999999902197356,-24.72691898838096,NaN,-0.10246733594396522,0,1000,0,0
30,300,500,0.95,1,0.004999999948890896,-35.84053442827969,NaN,6.9825803585997575,0,1000,0,0
30,300,500,0.95,1,0.05000000238954469,-30.98081736258519,NaN,2.6132870194247424,0,1000,0,0
30,300,500,0.95,1,0.2999999902197356,-24.836482850420346,NaN,-0.514977834092983,0,1000,0,0
30,300,500,1,0.95,0.004999999948890896,73.71762736398716,NaN,110.68276654306909,0,1000,0,0
30,300,500,1,0.95,0.05000000238954469,-31.47099539572994,NaN,3.659665854521131,0,1000,0,0
30,300,500,1,0.95,0.2999999902197356,-24.6696913609766,NaN,-0.03011143655738234,0,1000,0,0
30,300,500,1,1,0.004999999948890896,-32.399999309004855,NaN,13.510474217245726,0,1000,0,0
30,300,500,1,1,0.05000000238954469,-32.2120032396489,NaN,0.4400408541019683,0,1000,0,0
30,300,500,1,1,0.2999999902197356,-24.638664209820714,NaN,0.022141540398501497,0,1000,0,0
30,300,5000,0.95,0.95,0.004999999948890896,56.848254696893925,76.46384592795677,81.82301536500884,0,514,0,486
30,300,5000,0.95,0.95,0.05000000238954469,-33.725240342327616,-0.70663965131328,1.0239681743703524,0,509,0,491
