province,age_cat,sex,count,stratum_prop
Namur,"[90,Inf)",m,1164,1.0128220310718833e-4
Brussels,"[0,10)",m,83715,0.0072842264889332225
Brussels,"[10,20)",m,71746,0.006242777443409221
Brussels,"[20,30)",m,88375,0.007689703350169904
Brussels,"[30,40)",m,99190,0.008630740314606538
Brussels,"[40,50)",m,89943,0.00782613848287787
Brussels,"[50,60)",m,72909,0.006343972634314428
Brussels,"[60,70)",m,47259,0.004112109653473035
Brussels,"[70,80)",m,27919,0.0024292936671388237
Brussels,"[80,90)",m,13935,0.00121251503462085
Brussels,"[90,Inf)",m,2715,2.3623812838145732e-4
Antwerp,"[0,10)",f,102982,0.00896069058452274
Antwerp,"[10,20)",f,100061,0.008706527942532965
Antwerp,"[20,30)",f,111832,0.009730748572064506
Antwerp,"[30,40)",f,122291,0.010640809192595505
Antwerp,"[40,50)",f,117259,0.010202963792221475
Antwerp,"[50,60)",f,128893,0.011215263750081465
Antwerp,"[60,70)",f,110789,0.009639994845397154
Antwerp,"[70,80)",f,80704,0.0070222327487650575
Antwerp,"[80,90)",f,53978,0.004696744638590903
Antwerp,"[90,Inf)",f,13168,0.0011457766757005635
Flemish Brabant,"[0,10)",f,62337,0.00542407963495945
Flemish Brabant,"[10,20)",f,65995,0.005742370269810046
Flemish Brabant,"[20,30)",f,67272,0.005853484851741214
Flemish Brabant,"[30,40)",f,72271,0.0062884588494498345
Flemish Brabant,"[40,50)",f,77311,0.006727000347439722
Flemish Brabant,"[50,60)",f,81936,0.00712943178160703
Flemish Brabant,"[60,70)",f,68727,0.0059800876056251995
Flemish Brabant,"[70,80)",f,49853,0.004337819305414656
Flemish Brabant,"[80,90)",f,34343,0.002988260052671966
Flemish Brabant,"[90,Inf)",f,8702,7.571801816484131e-4
Walloon Brabant,"[0,10)",f,21265,0.0018503144751497937
Walloon Brabant,"[10,20)",f,24420,0.002124837972403384
Walloon Brabant,"[20,30)",f,23819,0.0020725436390121297
Walloon Brabant,"[30,40)",f,24572,0.0021380638271046664
Walloon Brabant,"[40,50)",f,27948,0.0024318170209963056
Walloon Brabant,"[50,60)",f,29056,0.002528226540792495
Walloon Brabant,"[60,70)",f,25374,0.0022078476130943272
Walloon Brabant,"[70,80)",f,18614,0.0016196451276951922
Walloon Brabant,"[80,90)",f,10911,9.493901358269175e-4
Walloon Brabant,"[90,Inf)",f,3006,2.615586791582544e-4
West Flanders,"[0,10)",f,57049,0.004963959110877996
West Flanders,"[10,20)",f,59677,0.005192627177687008
West Flanders,"[20,30)",f,66344,0.005772737528301806
West Flanders,"[30,40)",f,68239,0.005937625651057925
West Flanders,"[40,50)",f,72238,0.006285587446784425
West Flanders,"[50,60)",f,85185,0.00741213442584694
West Flanders,"[60,70)",f,79090,0.006881795054765915
West Flanders,"[70,80)",f,63024,0.0054838570177211665
West Flanders,"[80,90)",f,43559,0.0037901645061391895
West Flanders,"[90,Inf)",f,11181,9.7288343036209e-4
East Flanders,"[0,10)",f,78742,0.006851514808476137
East Flanders,"[10,20)",f,81521,0.0070933217177844505
East Flanders,"[20,30)",f,91522,0.007963530749807638
East Flanders,"[30,40)",f,97876,0.008516406281202031
East Flanders,"[40,50)",f,99384,0.00864762068179107
East Flanders,"[50,60)",f,106201,0.009240782862703186
East Flanders,"[60,70)",f,89940,0.007825877446271922
East Flanders,"[70,80)",f,67606,0.005882546927203243
East Flanders,"[80,90)",f,47422,0.004126292642396121
East Flanders,"[90,Inf)",f,11542,0.0010042948352776354
Hainaut,"[0,10)",f,72303,0.006291243239913263
Hainaut,"[10,20)",f,79302,0.006900241641586124
Hainaut,"[20,30)",f,79771,0.006941050364315739
Hainaut,"[30,40)",f,84439,0.007347223323168278
