n_1,n_2,n_3,sigma_e,sigma_p,pi,mse_pi_RG,n_sims
40,250,2500,0.99,0.95,0.13,2.280974827170483e-4,NA
40,250,2500,0.99,0.95,0.14,2.340767611189688e-4,NA
40,250,2500,0.99,0.95,0.15000000000000002,2.3962937957359285e-4,NA
40,250,2500,0.99,0.95,0.16,2.3758527591288267e-4,NA
40,250,2500,0.99,0.95,0.17,2.2368437542858363e-4,NA
40,250,2500,0.99,0.95,0.18000000000000002,2.407285696627689e-4,NA
40,250,2500,0.99,0.95,0.19,2.4600725457962856e-4,NA
40,250,2500,0.99,0.95,0.2,2.1256707256391672e-4,NA
40,250,2500,0.99,0.99,0.01,3.847504516152188e-5,NA
40,250,2500,0.99,0.99,0.02,4.879141111965596e-5,NA
40,250,2500,0.99,0.99,0.03,5.76529124718414e-5,NA
40,250,2500,0.99,0.99,0.04,6.080182491169207e-5,NA
40,250,2500,0.99,0.99,0.05,5.9454988834892796e-5,NA
40,250,2500,0.99,0.99,0.060000000000000005,6.16294174918446e-5,NA
40,250,2500,0.99,0.99,0.06999999999999999,7.104931694132462e-5,NA
40,250,2500,0.99,0.99,0.08,7.2151088918118e-5,NA
40,250,2500,0.99,0.99,0.09,7.618228352226321e-5,NA
40,250,2500,0.99,0.99,0.09999999999999999,7.233683372636104e-5,NA
40,250,2500,0.99,0.99,0.11,7.784746239091098e-5,NA
40,250,2500,0.99,0.99,0.12,8.927603644414248e-5,NA
40,250,2500,0.99,0.99,0.13,8.69917069040114e-5,NA
40,250,2500,0.99,0.99,0.14,9.272392924873358e-5,NA
40,250,2500,0.99,0.99,0.15000000000000002,9.06981437250072e-5,NA
40,250,2500,0.99,0.99,0.16,8.951821978665942e-5,NA
40,250,2500,0.99,0.99,0.17,9.535634140853458e-5,NA
40,250,2500,0.99,0.99,0.18000000000000002,9.776738527556396e-5,NA
40,250,2500,0.99,0.99,0.19,1.0030304551174797e-4,NA
40,250,2500,0.99,0.99,0.2,1.0606211915459776e-4,NA
