n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,MSE_hat_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,MSE_hat_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,MSE_hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.01001302890863757,0.7995,0.799268,0.1491,0.0035207817181604154,0.04986844215252999,0.491,1.0361031510295492e-4,0.02874752320161819,0.04695994306809115,0.947,9.80042818105319e-4,0.007288959606317534,0.048616688109890324,0.725,1.236856112911476e-4,0,0,0,882,-95.38844464945856,124.11586215302967,-83.92030344028107
40,250,2500,0.8,0.8,0.02001182691043619,0.799425,0.80022,0.153874,0.0034375044427610722,0.04900285722763344,0.479,3.9346235879130756e-4,0.031504044767176914,0.046323140166392135,0.951,0.0010846333029687321,0.00802282879372354,0.04776206956290556,0.712,3.7969207262234536e-4,0,0,0,882,-97.62258387724788,48.22108858890099,-88.74372899701149
40,250,2500,0.8,0.8,0.0299500950590778,0.79895,0.79974,0.1585688,0.0045752347762755725,0.04881163457441426,0.42,8.659203959609733e-4,0.03486395350653668,0.046205412498744144,0.942,0.0012569307762007281,0.010429022454890116,0.047581749822725776,0.687,8.053814475293362e-4,0,0,0,890,-97.05822571998209,21.805522230635965,-88.13181435845857
40,250,2500,0.8,0.8,0.03999187412181451,0.800975,0.800212,0.1632932,0.006273448553390644,0.04795246330228966,0.396,0.001525480616128102,0.03676494503509405,0.045618964795915325,0.956,0.0013649077673601865,0.0130160586783244,0.046764151254853385,0.667,0.0013828246110326506,0,0,0,886,-96.39657083129244,9.553853311638342,-87.10874899458595
40,250,2500,0.8,0.8,0.04997626335845337,0.803875,0.801668,0.1683036,0.008085068308349999,0.046908012609558444,0.398,0.002344557467063024,0.0393785249969288,0.044918859307051875,0.961,0.001569329992392744,0.0157948833541063,0.04579265128048856,0.659,0.002028056261250968,0,0,0,898,-95.52842763787629,8.99591782364035,-84.39235838408351
40,250,2500,0.8,0.8,0.06004853633714793,0.800425,0.801436,0.173522,0.009518860666223067,0.04677308920557101,0.358,0.003327091376423429,0.039968169709599675,0.044938643798812905,0.961,0.001610138077253527,0.017980699294742882,0.0456628716367134,0.652,0.002809989635798289,0,0,0,898,-94.7415086106891,6.293264718266153,-83.04932598904615
40,250,2500,0.8,0.8,0.07001591337850442,0.798,0.798612,0.1781988,0.011975351855333381,0.04740215697535214,0.29,0.004462913531597711,0.04218440820410004,0.045577643546720954,0.942,0.0017789299507381473,0.020854652429525035,0.04625977376399788,0.599,0.0038068431075996825,0,0,0,893,-93.87012904979065,-1.554874379129382,-82.94119768723611
40,250,2500,0.8,0.8,0.08000050809077303,0.8022,0.799724,0.1826948,0.01430023569439158,0.046379955618814334,0.262,0.005677139575098379,0.04247864418003412,0.04486741198180591,0.947,0.0018031616470174537,0.023750584477339968,0.04531506714951522,0.586,0.004626793032999248,0,0,0,884,-92.47278158671234,-0.9107552769547421,-79.67919317516234
40,250,2500,0.8,0.8,0.08999472365008586,0.800475,0.799664,0.1880636,0.017745544566212367,0.04614382331782809,0.252,0.006968727776000389,0.04364532791499899,0.04492088080496434,0.948,0.001903028791704701,0.027507111896435524,0.04512161584192064,0.554,0.005439823991211935,0,0,0,900,-90.64187167435703,-0.15339684857946279,-76.0481384106021
40,250,2500,0.8,0.8,0.09999102616110976,0.80195,0.801044,0.1927916,0.020600709834174218,0.04532972945700755,0.245,0.008182794459174775,0.043457359491725155,0.04446962239176404,0.967,0.0018873429658911624,0.03035273200161618,0.04439554746711453,0.563,0.0060963363758555055,0,0,0,899,-88.0921240517717,0.8303840934053107,-71.95066654028115
40,250,2500,0.8,0.8,0.10998195946364372,0.798925,0.800328,0.1975624,0.022512615662868492,0.045487560312715676,0.214,0.009571031706658312,0.04351780854895245,0.044782858042797594,0.96,0.0018919530490559447,0.0320773053594806,0.044551699086275924,0.521,0.006946671275766087,0,0,0,873,-86.56767623867792,-0.19751199449055223,-69.9509190063904
