n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,n_sims
40,250,2500,0.99,0.95,0.060000000000000005,-0.17127047213292185,NA
40,250,2500,0.99,0.95,0.06999999999999999,-1.2647206418596062,NA
40,250,2500,0.99,0.95,0.08,-0.5965353266030627,NA
40,250,2500,0.99,0.95,0.09,-0.8571506186046592,NA
40,250,2500,0.99,0.95,0.09999999999999999,0.5782903984825061,NA
40,250,2500,0.99,0.95,0.11,0.5894348648331644,NA
40,250,2500,0.99,0.95,0.12,-0.28928454310442103,NA
40,250,2500,0.99,0.95,0.13,-0.1303372579632892,NA
40,250,2500,0.99,0.95,0.14,-0.0844988893408473,NA
40,250,2500,0.99,0.95,0.15000000000000002,0.0941188737337839,NA
40,250,2500,0.99,0.95,0.16,-0.3746696260959435,NA
40,250,2500,0.99,0.95,0.17,-0.5443892749291559,NA
40,250,2500,0.99,0.95,0.18000000000000002,0.1024025422517881,NA
40,250,2500,0.99,0.95,0.19,0.03870379036719525,NA
40,250,2500,0.99,0.95,0.2,-0.5456129370356305,NA
40,250,2500,0.99,0.99,0.01,5.610796493282777,NA
40,250,2500,0.99,0.99,0.02,-1.544931566698094,NA
40,250,2500,0.99,0.99,0.03,0.36238647981063266,NA
40,250,2500,0.99,0.99,0.04,0.9608854723892023,NA
40,250,2500,0.99,0.99,0.05,-0.2856620955797584,NA
40,250,2500,0.99,0.99,0.060000000000000005,-0.44864308723665625,NA
40,250,2500,0.99,0.99,0.06999999999999999,-0.7219685192600254,NA
40,250,2500,0.99,0.99,0.08,-0.1547588105087032,NA
40,250,2500,0.99,0.99,0.09,-0.8506701511573777,NA
40,250,2500,0.99,0.99,0.09999999999999999,-0.08167134475435545,NA
40,250,2500,0.99,0.99,0.11,0.06874525951952593,NA
40,250,2500,0.99,0.99,0.12,-0.26046579915730655,NA
40,250,2500,0.99,0.99,0.13,0.286116765404529,NA
40,250,2500,0.99,0.99,0.14,-0.1452423090240026,NA
40,250,2500,0.99,0.99,0.15000000000000002,0.08583777826098869,NA
40,250,2500,0.99,0.99,0.16,-0.09015859131237744,NA
40,250,2500,0.99,0.99,0.17,0.11759379452654013,NA
40,250,2500,0.99,0.99,0.18000000000000002,-0.09833784103986201,NA
40,250,2500,0.99,0.99,0.19,0.18994912274361564,NA
40,250,2500,0.99,0.99,0.2,-0.1413194889795938,NA
250,250,2500,0.8,0.8,0.01,113.29838301333503,NA
250,250,2500,0.8,0.8,0.02,45.03450967589729,NA
250,250,2500,0.8,0.8,0.03,13.084355703251058,NA
250,250,2500,0.8,0.8,0.04,4.587199308438098,NA
250,250,2500,0.8,0.8,0.05,1.6174103601983152,NA
250,250,2500,0.8,0.8,0.060000000000000005,-2.275789421189144,NA
250,250,2500,0.8,0.8,0.06999999999999999,0.4518548009550023,NA
250,250,2500,0.8,0.8,0.08,0.6939751922924176,NA
250,250,2500,0.8,0.8,0.09,-1.9310245239271027,NA
250,250,2500,0.8,0.8,0.09999999999999999,-1.9537914041610345,NA
250,250,2500,0.8,0.8,0.11,-0.6969751114479178,NA
250,250,2500,0.8,0.8,0.12,1.5047228637309873,NA
250,250,2500,0.8,0.8,0.13,-1.2225419730481037,NA
250,250,2500,0.8,0.8,0.14,-2.4315275842158983,NA
250,250,2500,0.8,0.8,0.15000000000000002,-1.1423927860828205,NA
250,250,2500,0.8,0.8,0.16,-0.8793250819092053,NA
250,250,2500,0.8,0.8,0.17,-0.8239749706629211,NA
250,250,2500,0.8,0.8,0.18000000000000002,0.05741679143271406,NA
250,250,2500,0.8,0.8,0.19,-2.187878274869513,NA
250,250,2500,0.8,0.8,0.2,0.8131276699452211,NA
250,250,2500,0.8,0.95,0.01,34.43968433370359,NA
250,250,2500,0.8,0.95,0.02,6.621221994791496,NA
250,250,2500,0.8,0.95,0.03,2.4828042763762213,NA
250,250,2500,0.8,0.95,0.04,4.809724227153537,NA
250,250,2500,0.8,0.95,0.05,-0.33328327261994417,NA
250,250,2500,0.8,0.95,0.060000000000000005,-0.22340542625640344,NA
250,250,2500,0.8,0.95,0.06999999999999999,-0.9538784788779803,NA
250,250,2500,0.8,0.95,0.08,-1.3988307158805355,NA
250,250,2500,0.8,0.95,0.09,0.22791984301458643,NA
250,250,2500,0.8,0.95,0.09999999999999999,-0.1165258390368601,NA
250,250,2500,0.8,0.95,0.11,-0.7588655469235872,NA
250,250,2500,0.8,0.95,0.12,-0.2014240246391713,NA
250,250,2500,0.8,0.95,0.13,0.19535681225089171,NA
