n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRG_restriction,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRG_restriction,num_infinite_pi_SRGM,sims_w_positivity,n_sims
40,250,2500,0.8,0.99,0.11995767669210997,-29.58916119929936,1.4309534224911404,2.926663600555353,1.6378470574631738,0,0,0,0,455,NA
40,250,2500,0.8,0.99,0.1299855839797041,-29.063799896257294,1.1668591741280445,-1.5868065825270394,1.1671544078043694,0,0,0,0,448,NA
40,250,2500,0.8,0.99,0.14011042979399077,-29.571229066461164,0.2396131623632717,1.3083556860570735,0.4697841934293026,0,0,0,0,443,NA
40,250,2500,0.8,0.99,0.15025204503364473,-28.95783058047466,-0.15858966611612318,3.75767911445889,0.5583772574353562,0,0,0,0,445,NA
40,250,2500,0.8,0.99,0.16032946675383158,-29.284901433867446,-0.8826420029812333,0.24049001414543905,-0.8440083958851583,0,0,0,0,443,NA
40,250,2500,0.8,0.99,0.17026230863197309,-28.29001366818452,0.20733007621760677,2.560556034993664,0.500185429248641,0,0,0,0,452,NA
40,250,2500,0.8,0.99,0.17997198453830315,-27.79057937021761,1.1349214720557734,1.1094337550978313,0.807195310971518,0,0,0,0,454,NA
40,250,2500,0.8,0.99,0.1900678398849502,-26.963145382545136,1.6970239385724477,3.4439033114845565,1.5705034903901014,0,0,0,0,455,NA
40,250,2500,0.8,0.99,0.1998390882015514,-27.277866269333277,0.9715937504863847,1.7414755803781206,0.9709820951275263,0,0,0,0,435,NA
40,250,2500,0.99,0.8,0.009912299793487728,61.89398988177578,87.68556326898947,80.1484338007708,90.56690682873369,0,0,0,0,451,NA
40,250,2500,0.99,0.8,0.020076306911179623,-1.7820629924252553,21.60146649087817,25.180984507432044,25.081284828647533,0,0,0,0,447,NA
40,250,2500,0.99,0.8,0.030014421461553767,-20.690514493750698,5.184093309789425,-0.8400976447991022,8.39993509728368,0,0,0,0,434,NA
40,250,2500,0.99,0.8,0.03984382321137399,-25.60025332625511,3.6386347268016546,-1.1161353651781762,7.171904104534912,0,0,0,0,438,NA
40,250,2500,0.99,0.8,0.04999999597153313,-25.686701921481664,3.3643849606038727,4.009073569627045,6.92244226357846,0,0,0,0,436,NA
40,250,2500,0.99,0.8,0.05995028303745747,-37.40528973216011,-9.459090715394115,-4.273799056228109,-5.11143917927825,0,0,0,0,453,NA
40,250,2500,0.99,0.8,0.07004357654639723,-31.036634243410287,-0.2351604516332803,-7.122203348795812,2.659484690637565,0,0,0,0,433,NA
40,250,2500,0.99,0.8,0.07985389946003679,-31.675844580614047,-1.6923125328443474,-4.404313653566136,1.6763031287329107,0,0,0,0,445,NA
40,250,2500,0.99,0.8,0.09005769599673488,-29.836698015062332,1.4543062045998072,-3.3928305009849087,3.7642183975823706,0,0,0,0,448,NA
40,250,2500,0.99,0.8,0.10092145976379437,-29.37040712693266,0.756345496640191,-1.1563997322065926,3.9728830136086124,0,0,0,0,447,NA
40,250,2500,0.99,0.8,0.11010460386102104,-29.931351440905537,0.1379362719753738,1.7855251762308362,3.2153856298912897,0,0,0,0,447,NA
40,250,2500,0.99,0.8,0.11995767669210997,-30.45983412522821,-0.998102469874917,1.0925521226799428,2.063295063350533,0,0,0,0,456,NA
40,250,2500,0.99,0.8,0.1299855839797041,-31.057939031529177,-0.7655994614433832,-4.92155333052165,0.997984001501779,0,0,0,0,457,NA
40,250,2500,0.99,0.8,0.14011042979399077,-31.453513605428828,-2.2781390246942013,3.340119819262853,0.6195481516447803,0,0,0,0,457,NA
40,250,2500,0.99,0.8,0.15025204503364473,-29.463002547100007,-0.3664286571494651,-1.8931593860330342,1.3179653662041968,0,0,0,0,453,NA
40,250,2500,0.99,0.8,0.16032946675383158,-30.094583337691677,-0.9092694703815365,-1.4015188884986536,1.2478708400490675,0,0,0,0,458,NA
40,250,2500,0.99,0.8,0.17026230863197309,-30.161526567051638,-1.2310235344736007,0.9030661244430831,0.558401110308702,0,0,0,0,448,NA
40,250,2500,0.99,0.8,0.17997198453830315,-29.18938624260676,-0.26999339355354846,1.952650679002567,1.4998338206389672,0,0,0,0,449,NA
40,250,2500,0.99,0.8,0.1900678398849502,-28.135283686679067,-0.306659442686614,-2.084643932777488,1.2100761250679535,0,0,0,0,452,NA
40,250,2500,0.99,0.8,0.1998390882015514,-27.801548280365303,-0.17446412879531556,2.625848210744435,1.7267565391666537,0,0,0,0,444,NA
40,250,2500,0.99,0.95,0.009912299793487728,7.499661504892379,36.53385485796516,13.830935286276953,36.10645456942425,0,0,0,0,442,NA
40,250,2500,0.99,0.95,0.020076306911179623,-22.675071408623513,4.315228825427197,19.754503745248993,9.289361435458664,0,0,0,0,450,NA
40,250,2500,0.99,0.95,0.030014421461553767,-26.486942707452982,4.810311459237803,0.9851457659173313,8.183101196694576,0,0,0,0,447,NA
40,250,2500,0.99,0.95,0.03984382321137399,-29.560645269150466,2.8325136955562797,-2.198981655088185,5.935275002631445,0,0,0,0,437,NA
40,250,2500,0.99,0.95,0.04999999597153313,-34.69511608600556,-3.2721141650332113,-1.4853469586482806,-0.011824789954503563,0,0,0,0,455,NA
40,250,2500,0.99,0.95,0.05995028303745747,-33.33408336779905,-2.026930917874835,-0.8331306623280582,1.2113916802709026,0,0,0,0,444,NA
40,250,2500,0.99,0.95,0.07004357654639723,-30.653457963091853,1.4549198731400343,0.9631384416684223,3.5229743121386417,0,0,0,0,445,NA
40,250,2500,0.99,0.95,0.07985389946003679,-31.606622830579163,-0.6779403816880453,2.2346235505893692,1.921159991303124,0,0,0,0,444,NA
40,250,2500,0.99,0.95,0.09005769599673488,-31.48357788328757,-0.5632812660058744,-0.6568540491725834,1.4724699598188276,0,0,0,0,451,NA
40,250,2500,0.99,0.95,0.10092145976379437,-31.26856713603037,0.1032995062098758,-1.951304591394719,1.319574351086359,0,0,0,0,458,NA
40,250,2500,0.99,0.95,0.11010460386102104,-31.689015041327888,-1.607338425598592,0.10181395826822574,0.21913628611924615,0,0,0,0,448,NA
40,250,2500,0.99,0.95,0.11995767669210997,-30.348523573403106,-0.5284945602223922,1.1997628736256052,1.3545519634261634,0,0,0,0,447,NA
40,250,2500,0.99,0.95,0.1299855839797041,-30.28963683716539,-0.10629649800709741,0.07448376484700721,0.9887340099846775,0,0,0,0,441,NA
40,250,2500,0.99,0.95,0.14011042979399077,-29.976682150198094,-0.37601989748659775,-2.7314331784530994,0.4799624047890254,0,0,0,0,449,NA
40,250,2500,0.99,0.95,0.15025204503364473,-29.708950248149367,-0.45868315719311126,-2.4382258602862756,0.5564774476705874,0,0,0,0,453,NA
40,250,2500,0.99,0.95,0.16032946675383158,-28.386167308074075,0.36504106945678183,-0.442346481625919,1.437020658694831,0,0,0,0,448,NA
40,250,2500,0.99,0.95,0.17026230863197309,-28.949809796691266,-0.28313249575029314,0.4041194895907584,0.7042957013047126,0,0,0,0,442,NA
40,250,2500,0.99,0.95,0.17997198453830315,-28.558752348674798,-0.5714418900791988,0.9115657325226607,0.5892720012390847,0,0,0,0,439,NA
40,250,2500,0.99,0.95,0.1900678398849502,-28.044525396012588,0.07525173398508474,-0.760475464016204,0.6421242924491999,0,0,0,0,454,NA
40,250,2500,0.99,0.95,0.1998390882015514,-27.68369603442718,-0.03628115708726254,0.8720628050854263,0.8802273018694309,0,0,0,0,448,NA
40,250,2500,0.99,0.99,0.009912299793487728,-24.979898835949086,6.0706258469391186,5.451511423154451,10.360820624580052,0,0,0,0,446,NA
40,250,2500,0.99,0.99,0.020076306911179623,-35.11446951339896,-1.5988264166502335,-3.9910581068880737,0.5931781518898804,0,0,0,0,441,NA
40,250,2500,0.99,0.99,0.030014421461553767,-33.906064330805656,0.07414483574360148,-7.892840024248935,0.9368922902296383,0,0,0,0,450,NA
40,250,2500,0.99,0.99,0.03984382321137399,-32.90290338434371,0.5511360045972996,-2.836796578042146,1.4788530050811028,0,0,0,0,431,NA
40,250,2500,0.99,0.99,0.04999999597153313,-32.595159279674455,-0.5997337872836743,1.529952373514351,0.9091862436118079,0,0,0,0,448,NA
40,250,2500,0.99,0.99,0.05995028303745747,-31.949524623155636,0.0026580910072493604,2.381372587574852,1.2907397031040218,0,0,0,0,447,NA
40,250,2500,0.99,0.99,0.07004357654639723,-33.03482310792071,-1.287853333278904,-1.826952209624097,-0.7142427821510147,0,0,0,0,447,NA
40,250,2500,0.99,0.99,0.07985389946003679,-31.64103680063352,-0.14823978794417295,-4.562806137182088,0.3430480377996178,0,0,0,0,450,NA
40,250,2500,0.99,0.99,0.09005769599673488,-30.112367334146988,1.068115619137784,-0.07146410713294125,1.5129988000581558,0,0,0,0,442,NA
40,250,2500,0.99,0.99,0.10092145976379437,-30.61162090371475,0.27942069267609276,0.7287438127563874,0.8049569641441757,0,0,0,0,448,NA
40,250,2500,0.99,0.99,0.11010460386102104,-30.68845877986239,-0.5032306433377892,0.2967061157134894,0.04352279262444525,0,0,0,0,446,NA
40,250,2500,0.99,0.99,0.11995767669210997,-29.735581554827878,0.30727536033651615,-0.5837418369085544,0.6911066158576387,0,0,0,0,439,NA
40,250,2500,0.99,0.99,0.1299855839797041,-29.941859162917133,-0.10810251960542334,0.16961391107625998,0.23366147172570748,0,0,0,0,452,NA
40,250,2500,0.99,0.99,0.14011042979399077,-29.52912523406339,0.5001867525461146,0.9208725759267312,0.741334981994974,0,0,0,0,451,NA
40,250,2500,0.99,0.99,0.15025204503364473,-29.039278439518675,0.3813282035610909,-0.5456520729753019,0.6939567355927724,0,0,0,0,447,NA
40,250,2500,0.99,0.99,0.16032946675383158,-28.84830028883873,0.10403666707513524,-0.4698427689896057,0.3977155719336076,0,0,0,0,443,NA
40,250,2500,0.99,0.99,0.17026230863197309,-28.44513293826359,0.15231004545382917,1.0960631959205513,0.4232090376857355,0,0,0,0,453,NA
40,250,2500,0.99,0.99,0.17997198453830315,-28.274212485241335,-0.02434152388628091,0.09484549317463474,0.3186326290451293,0,0,0,0,437,NA
40,250,2500,0.99,0.99,0.1900678398849502,-28.373712210853963,-0.3665843615506639,-0.5765766861336853,-0.2591588908898138,0,0,0,0,450,NA
40,250,2500,0.99,0.99,0.1998390882015514,-27.35995449828115,0.6184343193728408,0.010140360747347947,0.6583068725374802,0,0,0,0,449,NA
250,250,2500,0.8,0.8,0.009912299793487728,99.20797088242227,129.75902470920795,77.42038374627364,125.36406054883795,0,0,0,0,445,NA
250,250,2500,0.8,0.8,0.020076306911179623,26.413810909717032,55.24626780048089,36.11795801580068,54.523671116085794,0,0,0,0,444,NA
250,250,2500,0.8,0.8,0.030014421461553767,-2.0994410624954667,26.138520781256222,11.292273670370454,26.346895343900087,0,0,0,0,439,NA
250,250,2500,0.8,0.8,0.03984382321137399,-16.035978834413633,8.357739372591436,25.369375675208893,13.247892643346967,0,0,0,0,460,NA
250,250,2500,0.8,0.8,0.04999999597153313,-19.44896356375554,9.757002291850997,20.86450217307258,14.131244214289715,0,0,0,0,445,NA
250,250,2500,0.8,0.8,0.05995028303745747,-23.056940968208483,5.437713346016271,1.1820800022358886,7.993219688558838,0,0,0,0,463,NA
250,250,2500,0.8,0.8,0.07004357654639723,-27.893550751591984,-1.4525215684280013,12.034767784945084,3.7757436267797417,0,0,0,0,443,NA
250,250,2500,0.8,0.8,0.07985389946003679,-31.178717002747153,-1.9574776604073223,-2.7059001891595162,1.6129840406624847,0,0,0,0,451,NA
250,250,2500,0.8,0.8,0.09005769599673488,-32.726466986843384,-3.424076705571267,-0.8670035523511377,0.5957260743457431,0,0,0,0,448,NA
250,250,2500,0.8,0.8,0.10092145976379437,-29.448114877106207,0.08711132703883245,4.489983240650476,3.258415467125168,0,0,0,0,452,NA
250,250,2500,0.8,0.8,0.11010460386102104,-30.877329874530172,-1.6669174016590116,1.4730139799172117,1.4528774989232216,0,0,0,0,451,NA
250,250,2500,0.8,0.8,0.11995767669210997,-31.165928349552093,-1.4361552031063376,2.797037601234374,1.417684047348978,0,0,0,0,444,NA
250,250,2500,0.8,0.8,0.1299855839797041,-32.864723059185756,-3.9476205386034597,-2.217246705993773,-1.3879297203184822,0,0,0,0,442,NA
250,250,2500,0.8,0.8,0.14011042979399077,-31.220648171463495,-2.4700505806910615,-5.376991540830868,-0.18865174100071205,0,0,0,0,449,NA
250,250,2500,0.8,0.8,0.15025204503364473,-27.215303095043794,2.9279560624022123,-4.021017404938241,4.17404248996097,0,0,0,0,447,NA
250,250,2500,0.8,0.8,0.16032946675383158,-31.467791831808743,-2.5519968643424247,-3.986798546067846,-0.6922991671374987,0,0,0,0,446,NA
250,250,2500,0.8,0.8,0.17026230863197309,-30.10237032326597,-0.9092158111587669,-5.686981798220327,0.3779914854285876,0,0,0,0,445,NA
250,250,2500,0.8,0.8,0.17997198453830315,-29.243991998187308,-1.032461208829473,0.24900909098917762,1.0336421919977785,0,0,0,0,438,NA
250,250,2500,0.8,0.8,0.1900678398849502,-27.662702537049444,0.6075971620292623,-2.832405567017041,1.685589126958728,0,0,0,0,442,NA
250,250,2500,0.8,0.8,0.1998390882015514,-28.209658337016098,-0.6326134469204229,1.3098914499799694,0.8571265517006192,0,0,0,0,446,NA
250,250,2500,0.8,0.95,0.009912299793487728,25.989280930853937,50.3005064043748,55.623855156664675,54.888350650989715,0,0,0,0,446,NA
250,250,2500,0.8,0.95,0.020076306911179623,-25.04445859514113,3.841542410153227,4.940315688123006,6.776447496017114,0,0,0,0,440,NA
250,250,2500,0.8,0.95,0.030014421461553767,-27.687538208700474,1.3595820622652939,16.249855535846013,6.568323635264675,0,0,0,0,445,NA
250,250,2500,0.8,0.95,0.03984382321137399,-28.216557026046925,3.1601464039680667,-2.131061202552043,6.063618534265991,0,0,0,0,441,NA
250,250,2500,0.8,0.95,0.04999999597153313,-32.60102074881554,-1.9310408169611122,-3.205529364584414,1.262416922501034,0,0,0,0,449,NA
250,250,2500,0.8,0.95,0.05995028303745747,-31.773183062368833,-0.03378911545031114,-4.3777086546079005,2.473172029330797,0,0,0,0,460,NA
250,250,2500,0.8,0.95,0.07004357654639723,-31.91292810786818,-0.1173528013702436,-1.7942108713384344,2.1777412497366737,0,0,0,0,445,NA
250,250,2500,0.8,0.95,0.07985389946003679,-31.22361983447457,0.14429427290337582,0.9978990355726142,2.267583867123969,0,0,0,0,458,NA
250,250,2500,0.8,0.95,0.09005769599673488,-33.01237439692033,-1.9861937589921492,-4.926864702303393,-0.34154470846512147,0,0,0,0,438,NA
250,250,2500,0.8,0.95,0.10092145976379437,-31.35167804651013,-0.5936377729992414,-0.5707245968461531,1.2106646714589087,0,0,0,0,438,NA
250,250,2500,0.8,0.95,0.11010460386102104,-30.473800794938768,0.04837792547222007,-1.931696864425185,1.568161906644847,0,0,0,0,448,NA
250,250,2500,0.8,0.95,0.11995767669210997,-30.197483861357036,0.15698695076913785,-0.837528425190408,1.500635593415438,0,0,0,0,454,NA
250,250,2500,0.8,0.95,0.1299855839797041,-30.00999351020688,-0.3957636003982368,-0.8252952410560036,0.8912776347605608,0,0,0,0,455,NA
250,250,2500,0.8,0.95,0.14011042979399077,-29.647298510211293,0.05543254198874726,0.569601187191599,1.3039775275101464,0,0,0,0,449,NA
250,250,2500,0.8,0.95,0.15025204503364473,-29.574809248136066,0.10621731979052419,0.12233673849779954,1.1125724445815404,0,0,0,0,434,NA
250,250,2500,0.8,0.95,0.16032946675383158,-28.4717262455485,0.6138961560778028,-0.25806027670825177,1.204984568758373,0,0,0,0,461,NA
250,250,2500,0.8,0.95,0.17026230863197309,-28.383426902173177,0.6519417710540468,-0.445128361897726,1.0527595415504176,0,0,0,0,443,NA
250,250,2500,0.8,0.95,0.17997198453830315,-28.831869303620334,-0.3150022679055065,-1.0680625150163023,0.15352010760923201,0,0,0,0,437,NA
250,250,2500,0.8,0.95,0.1900678398849502,-27.75542462709564,0.4920145467065832,-2.087957439655235,0.7501214147027075,0,0,0,0,449,NA
250,250,2500,0.8,0.95,0.1998390882015514,-26.99320497367725,0.8897848240311447,0.3437238462823707,1.221965655824402,0,0,0,0,428,NA
250,250,2500,0.8,0.99,0.009912299793487728,-26.955083310979116,2.4597660749397994,-3.815943506892601,5.100252353406401,0,0,0,0,446,NA
250,250,2500,0.8,0.99,0.020076306911179623,-34.10510893708667,-4.075377943602856,-0.2881704540390488,-0.25725677897344557,0,0,0,0,438,NA
250,250,2500,0.8,0.99,0.030014421461553767,-32.0135593548536,0.16729259716851563,3.7249133450465703,2.334015928835416,0,0,0,0,445,NA
250,250,2500,0.8,0.99,0.03984382321137399,-34.44628227108969,-2.108890949424372,-5.2415624291422915,-0.5993274609521724,0,0,0,0,439,NA
250,250,2500,0.8,0.99,0.04999999597153313,-32.0915147931214,-0.14347047098764226,0.9807128657901925,1.1605373290341552,0,0,0,0,462,NA
250,250,2500,0.8,0.99,0.05995028303745747,-32.119133493384155,0.3909073116883663,-4.611469642479481,0.968804377180271,0,0,0,0,461,NA
250,250,2500,0.8,0.99,0.07004357654639723,-32.737498648305156,-0.539384903555092,-3.520177799845355,0.19043891896093648,0,0,0,0,434,NA
250,250,2500,0.8,0.99,0.07985389946003679,-31.085140128250497,1.4250056918112954,-1.0332164626589062,1.286618378940427,0,0,0,0,465,NA
250,250,2500,0.8,0.99,0.09005769599673488,-31.996698824641875,-1.4952029096679333,1.1318307142365236,-0.4557516361593915,0,0,0,0,447,NA
250,250,2500,0.8,0.99,0.10092145976379437,-30.18210717164556,0.6739943436491131,1.4371994918945172,0.9970819787649274,0,0,0,0,462,NA
250,250,2500,0.8,0.99,0.11010460386102104,-30.440475544526773,0.3339127410979606,-0.31226798724408444,0.5259968068491788,0,0,0,0,448,NA
250,250,2500,0.8,0.99,0.11995767669210997,-30.216132803096063,0.20826064565248362,-1.9470615205940678,0.09144016127850056,0,0,0,0,450,NA
250,250,2500,0.8,0.99,0.1299855839797041,-29.833859709520812,0.0031151711579469423,-0.10197378148435048,0.1948093181333189,0,0,0,0,438,NA
250,250,2500,0.8,0.99,0.14011042979399077,-29.595681875470106,0.2553552376091184,-0.7667359977926367,0.1838245663902366,0,0,0,0,444,NA
250,250,2500,0.8,0.99,0.15025204503364473,-29.373359541630226,0.2848811086813612,0.25596210989622287,0.24519772729098058,0,0,0,0,453,NA
250,250,2500,0.8,0.99,0.16032946675383158,-29.273457318947017,-0.6110146961203453,0.00630874679612446,-0.46325740326208437,0,0,0,0,448,NA
250,250,2500,0.8,0.99,0.17026230863197309,-28.41095790267685,0.48865195215287827,-0.5671151679579043,0.1621474618050296,0,0,0,0,449,NA
250,250,2500,0.8,0.99,0.17997198453830315,-28.713565555430034,-0.7256511077326967,-0.4061400377202169,-0.5566265119397614,0,0,0,0,443,NA
250,250,2500,0.8,0.99,0.1900678398849502,-28.168293830070667,-0.09003307499676753,-0.7985622582185278,-0.2420852864075987,0,0,0,0,447,NA
250,250,2500,0.8,0.99,0.1998390882015514,-28.094737132144623,-0.3146498327957629,-0.6622652425926759,-0.5438238189278048,0,0,0,0,447,NA
250,250,2500,0.99,0.8,0.009912299793487728,62.157872161033254,78.66697270044456,119.2045782607265,86.73733992062405,0,0,0,0,441,NA
250,250,2500,0.99,0.8,0.020076306911179623,0.7367131650278388,26.449203450882223,19.036771279135753,27.211710072481523,0,0,0,0,449,NA
250,250,2500,0.99,0.8,0.030014421461553767,-13.79821488345684,12.756820021716253,7.319467758541752,16.28139334864507,0,0,0,0,458,NA
250,250,2500,0.99,0.8,0.03984382321137399,-26.26466299887442,1.0443414152774442,-12.4494494400698,3.416803901593429,0,0,0,0,449,NA
250,250,2500,0.99,0.8,0.04999999597153313,-32.50538205217622,-4.41639121099435,-9.812966999008772,-0.9145425376373969,0,0,0,0,452,NA
250,250,2500,0.99,0.8,0.05995028303745747,-28.533246442049858,2.7249104682535323,-3.960517622629199,5.783226890995869,0,0,0,0,455,NA
