n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,MSE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,MSE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,MSE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.00991229979348772,0.7995,0.799268,0.2043028,0.026583129502044046,0.04535058982032942,8.140480578952988e-4,0.958,0.028227398939562102,0.04651170269274826,9.442514743862312e-4,0.955,0.02841283658252527,0.04616170421735655,9.638897779170057e-4,0.952,0,0,0,882,104.88713922266972,122.84028218595813,126.57230077156603
40,250,2500,0.8,0.8,0.02007630691117962,0.797525,0.801408,0.2078396,0.029174922263126995,0.04476047880602539,8.842924176338699e-4,0.961,0.03227194387585226,0.04593728066134809,0.0011558094093526827,0.962,0.03218575031765589,0.04554843230312677,0.0011574314129275038,0.956,0,0,0,896,29.03006415673932,53.50167449569141,55.139603471803404
40,250,2500,0.8,0.8,0.03001442146155376,0.802325,0.800524,0.21210880000000001,0.030783637052083198,0.04430723460133715,9.473043615801589e-4,0.957,0.03435860450768753,0.04544657775354407,0.0012296684812281456,0.946,0.03440940163504936,0.04504276250878231,0.0012453159316730801,0.95,0,0,0,886,-2.6227389886654415,23.63775985615534,26.338180629383608
40,250,2500,0.8,0.8,0.03984382321137399,0.796175,0.801216,0.2169132,0.033723183601615206,0.04437874860429193,0.0011496763504430633,0.961,0.03794961068486554,0.045526955898411735,0.0014915794708119548,0.949,0.038206580398365206,0.045124990874192444,0.0015368449193342403,0.946,0,0,0,897,-9.24222864060843,18.245169476164683,22.245640747871814
40,250,2500,0.8,0.8,0.04999999597153313,0.802875,0.799292,0.2204812,0.03436175192949789,0.04406630238536011,0.0013414963372559636,0.96,0.03826930991845239,0.04516142529644849,0.0014633811023982328,0.956,0.03843607835463235,0.04474866552072779,0.0014842110238658924,0.952,0,0,0,893,-25.451687384785757,1.1055512553409306,5.781431673297317
40,250,2500,0.8,0.8,0.05995028303745747,0.797775,0.800056,0.2247792,0.03595744556866608,0.04416375347838335,0.001520386903719236,0.953,0.04059347846174926,0.045312967106059136,0.0016506352328201426,0.951,0.040621604925123324,0.04488541962345955,0.001665698252309151,0.944,0,0,0,904,-25.227933150284123,3.5197686998745397,6.924629148241462
40,250,2500,0.8,0.8,0.07004357654639723,0.801775,0.8016920000000001,0.22873280000000001,0.03948952157813819,0.04340934694518211,0.0018592089755566036,0.941,0.044080069521179675,0.0446221218209578,0.001950572303921494,0.935,0.04368547239890189,0.04418238548367,0.0019375253427466896,0.936,0,0,0,900,-24.783604038098662,4.391795879364948,7.950701120636764
40,250,2500,0.8,0.8,0.07985389946003679,0.799675,0.7993560000000001,0.2328868,0.03796248246364582,0.04385314969882447,0.0020297872825122223,0.941,0.0418414977626732,0.0450545050021698,0.0017495849884886585,0.963,0.04124211432650364,0.044612154206395936,0.0017023677927664326,0.958,0,0,0,881,-30.419965315600205,-0.9898331825405841,2.2249551366198452
40,250,2500,0.8,0.8,0.09005769599673488,0.801575,0.7995720000000001,0.2373792,0.04012715541446389,0.04357422686194811,0.0023804779219041717,0.925,0.04348067796502597,0.04481458426448461,0.0018906043823903804,0.962,0.043222548494598334,0.04439230493848592,0.0018696476099084012,0.962,0,0,0,881,-30.850311275148194,-1.5408547213025436,2.025406086842836
40,250,2500,0.8,0.8,0.10092145976379437,0.8029,0.7997960000000001,0.2418532,0.040844183101275716,0.04327019709722876,0.0026425959828901727,0.918,0.044770659849202823,0.04462855456323918,0.002005051367217851,0.951,0.04457645745104299,0.04418623850967668,0.0019871193312206085,0.949,0,0,0,891,-30.956022480466835,-1.611129449407963,1.4172666082750467
40,250,2500,0.8,0.8,0.11010460386102104,0.79865,0.8000200000000001,0.2457488,0.042484562267789745,0.04340654810786119,0.002925270636324775,0.905,0.045115771198706946,0.044866786242096175,0.002033799321452081,0.949,0.04492359094285502,0.044423797590597204,0.0020223579876455173,0.944,0,0,0,908,-30.424087935122564,-0.575807048723733,2.2700400694472473
40,250,2500,0.8,0.8,0.11995767669210997,0.798425,0.8006920000000001,0.2499212,0.04244878125186775,0.043253185033129735,0.0030861145169253632,0.886,0.04527578659947262,0.044802224104366344,0.0020480630838428924,0.956,0.04394823445151768,0.04435477724117879,0.0019417432964348768,0.958,0,0,0,893,-29.894780854381196,0.3875502022569734,2.915006908179896
40,250,2500,0.8,0.8,0.1299855839797041,0.797225,0.79978,0.2546324,0.043462315750293704,0.04340621541309496,0.003404210691176856,0.865,0.04635028222766835,0.04510048662552455,0.00214642002298741,0.943,0.04559362316009086,0.04465266321649708,0.002087739450924648,0.952,0,0,0,891,-29.965101057255996,0.3606025543726875,2.5561395393098483
40,250,2500,0.8,0.8,0.14011042979399077,0.80215,0.800772,0.2589824,0.043505052737049243,0.04279969913787878,0.003605631866076178,0.851,0.04653562938152421,0.04459456809853718,0.002163470941833812,0.956,0.04580377557673544,0.04414748986882842,0.0021068707212100516,0.955,0,0,0,891,-29.555662376802815,0.1911187735596625,2.3653045132928514
40,250,2500,0.8,0.8,0.15025204503364473,0.79915,0.80038,0.2638888,0.040295566545736496,0.042992128853023316,0.00349540923663369,0.859,0.042912745876002786,0.04493213290571092,0.0018411514327746107,0.971,0.042064533907492395,0.04451502468433422,0.0017880531733976124,0.972,0,0,0,898,-28.806023321494266,0.8121811424498843,3.0058616665607163
40,250,2500,0.8,0.8,0.16032946675383158,0.799725,0.800736,0.2684596,0.0433359787451326,0.04293118041649718,0.0039044301679964474,0.829,0.0466089627010395,0.04508486059407619,0.002176295408763691,0.948,0.04600253743517644,0.044650417639371096,0.0021451570987839224,0.958,0,0,0,894,-28.090072960770655,1.536975133860125,3.474934964986281
40,250,2500,0.8,0.8,0.17026230863197309,0.796575,0.7995720000000001,0.2730236,0.04183711201960979,0.04328746536908377,0.004090569134081518,0.81,0.0444687009486815,0.0455851163110167,0.0019780573746683455,0.972,0.044300799669787824,0.04515829785500678,0.0019825739480715935,0.969,0,0,0,906,-28.42317959842428,0.9414640961943154,2.753292942147209
40,250,2500,0.8,0.8,0.17997198453830315,0.8002,0.800428,0.2773968,0.04146112454061977,0.0428928133242183,0.00427602671230675,0.797,0.043682714421126666,0.0452767267493175,0.0019075897591629778,0.972,0.04298336144778125,0.044846809811565566,0.0018603066708378778,0.973,0,0,0,884,-28.10648601086906,0.6379969608685213,2.1220055104783833
40,250,2500,0.8,0.8,0.1900678398849502,0.79965,0.799776,0.2818476,0.04307247544978552,0.04311262936051236,0.00474283876406655,0.764,0.04613862250334991,0.045658640379072434,0.002126678417040294,0.958,0.04535279609497297,0.04525607583958387,0.002062410412458699,0.959,0,0,0,903,-28.281301601867792,-0.09801103995809678,1.4495922583918426
40,250,2500,0.8,0.8,0.1998390882015514,0.800325,0.799488,0.287118,0.04205969468429634,0.04309413887889426,0.004882340562369742,0.761,0.04422155974881222,0.04577796996232318,0.0019536109261623245,0.97,0.043468166672903305,0.04535993952316048,0.0018951390079202856,0.973,0,0,0,896,-27.92897361703206,-0.07098999089912264,1.3746939819916124
40,250,2500,0.8,0.95,0.00991229979348772,0.7989,0.950352,0.0550448,0.012659456922018126,0.01935813119240871,1.6277397480052034e-4,0.955,0.014231094022230847,0.02005590140071538,2.2203269850319034e-4,0.946,0.014172634637689587,0.019894896546198155,2.221002593397793e-4,0.945,0,0,0,895,16.49207320478327,44.79009087412984,46.71035306552679
40,250,2500,0.8,0.95,0.02007630691117962,0.800375,0.949552,0.0603424,0.014875482737474154,0.01947809837521158,2.3877887205480796e-4,0.959,0.01692097996246561,0.020334867113633297,2.875920651909632e-4,0.945,0.016834467597792765,0.020152990271804505,2.871517478949152e-4,0.943,0,0,0,899,-20.96766450520272,6.2189120944574166,10.006531541837113
40,250,2500,0.8,0.95,0.03001442146155376,0.801375,0.94934,0.0652788,0.016522556997304205,0.019514003675251277,3.487812104034124e-4,0.94,0.01920723132360835,0.020531629247270505,3.6855887679790203e-4,0.952,0.019210182046183247,0.020336409661821087,3.698193465408672e-4,0.941,0,0,0,872,-29.056696014071225,-0.3341614705775797,3.5841805843971772
40,250,2500,0.8,0.95,0.03984382321137399,0.7992,0.9501879999999999,0.0701204,0.017420779177852393,0.019457505070826244,4.426278909593702e-4,0.929,0.020197202833048697,0.02069298156621933,4.0823129636804366e-4,0.957,0.01981712636980224,0.02045917280760876,3.963474329951776e-4,0.952,0,0,0,897,-29.637725519308297,2.1180997584814043,5.03316703991645
