n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,MSE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,MSE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,MSE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.01001302890863757,0.7995,0.799268,0.1491,0.0035207817181604154,0.04986844215252999,1.0361031510295492e-4,0.491,0.02874752320161819,0.04695994306809115,9.80042818105319e-4,0.947,0.028698025524193607,0.04652162411664328,9.748103854530847e-4,0.946,0,0,0,882,-95.38844464945856,124.11586215302967,123.15106091251515
40,250,2500,0.8,0.8,0.02001182691043619,0.799425,0.80022,0.153874,0.0034375044427610722,0.04900285722763344,3.9346235879130756e-4,0.479,0.031504044767176914,0.046323140166392135,0.0010846333029687321,0.951,0.03144722214290929,0.04586875861893946,0.001083977074257794,0.952,0,0,0,882,-97.62258387724788,48.22108858890099,48.970587769513386
40,250,2500,0.8,0.8,0.0299500950590778,0.79895,0.79974,0.1585688,0.0045752347762755725,0.04881163457441426,8.659203959609733e-4,0.42,0.03486395350653668,0.046205412498744144,0.0012569307762007281,0.942,0.03445631179661127,0.04576392793452512,0.001224070089673094,0.949,0,0,0,890,-97.05822571998209,21.805522230635965,20.587675081452144
40,250,2500,0.8,0.8,0.03999187412181451,0.800975,0.800212,0.1632932,0.006273448553390644,0.04795246330228966,0.001525480616128102,0.396,0.03676494503509405,0.045618964795915325,0.0013649077673601865,0.956,0.0363729703650336,0.04514294491997522,0.001335768615950718,0.953,0,0,0,886,-96.39657083129244,9.553853311638342,9.388944856879625
40,250,2500,0.8,0.8,0.04997626335845337,0.803875,0.801668,0.1683036,0.008085068308349999,0.046908012609558444,0.002344557467063024,0.398,0.0393785249969288,0.044918859307051875,0.001569329992392744,0.961,0.03927190836495476,0.04446416542219777,0.0015605094436270577,0.965,0,0,0,898,-95.52842763787629,8.99591782364035,8.896678726872796
40,250,2500,0.8,0.8,0.06004853633714793,0.800425,0.801436,0.173522,0.009518860666223067,0.04677308920557101,0.003327091376423429,0.358,0.039968169709599675,0.044938643798812905,0.001610138077253527,0.961,0.03937518568294583,0.04447322604999532,0.0015655039505299243,0.961,0,0,0,898,-94.7415086106891,6.293264718266153,6.795056339424126
40,250,2500,0.8,0.8,0.07001591337850442,0.798,0.798612,0.1781988,0.011975351855333381,0.04740215697535214,0.004462913531597711,0.29,0.04218440820410004,0.045577643546720954,0.0017789299507381473,0.942,0.0414134723361963,0.045100921862887,0.0017141730474730648,0.948,0,0,0,893,-93.87012904979065,-1.554874379129382,-1.287350516096125
40,250,2500,0.8,0.8,0.08000050809077303,0.8022,0.799724,0.1826948,0.01430023569439158,0.046379955618814334,0.005677139575098379,0.262,0.04247864418003412,0.04486741198180591,0.0018031616470174537,0.947,0.04170123459731744,0.044402639220102604,0.0017382937457557917,0.954,0,0,0,884,-92.47278158671234,-0.9107552769547421,-1.2746069093129266
40,250,2500,0.8,0.8,0.08999472365008586,0.800475,0.799664,0.1880636,0.017745544566212367,0.04614382331782809,0.006968727776000389,0.252,0.04364532791499899,0.04492088080496434,0.001903028791704701,0.948,0.042796047396048705,0.044434612356400574,0.0018296872572641297,0.953,0,0,0,900,-90.64187167435703,-0.15339684857946279,-0.14524655742677273
40,250,2500,0.8,0.8,0.09999102616110976,0.80195,0.801044,0.1927916,0.020600709834174218,0.04532972945700755,0.008182794459174775,0.245,0.043457359491725155,0.04446962239176404,0.0018873429658911624,0.967,0.043016500706522916,0.043993527093108255,0.0018501285000395633,0.964,0,0,0,899,-88.0921240517717,0.8303840934053107,1.2489460699021453
40,250,2500,0.8,0.8,0.10998195946364372,0.798925,0.800328,0.1975624,0.022512615662868492,0.045487560312715676,0.009571031706658312,0.214,0.04351780854895245,0.044782858042797594,0.0018919530490559447,0.96,0.04247654542091282,0.044298693888700766,0.0018024532334709289,0.96,0,0,0,873,-86.56767623867792,-0.19751199449055223,-0.02188771265017111
40,250,2500,0.8,0.8,0.11996015909244344,0.79785,0.8007960000000001,0.2028756,0.026216922461034093,0.045092940821185735,0.010748841639409938,0.226,0.04472989056343233,0.044788688876759304,0.002000709499643804,0.948,0.0438613109930655,0.044304576003239414,0.0019254245520988944,0.95,0,0,0,892,-83.61986874437237,1.163223048788306,1.5670461226631214
40,250,2500,0.8,0.8,0.130005486552786,0.800975,0.801096,0.2075704,0.02863988852975263,0.04455476870132257,0.011867791988633084,0.203,0.044030822285811184,0.04450458181012482,0.0019394970974606154,0.959,0.044089964954003975,0.04405880254962359,0.0019434860286068343,0.957,0,0,0,881,-80.8513739791013,1.2691771129730898,0.9436229280107282
40,250,2500,0.8,0.8,0.1399963391195168,0.800675,0.8001240000000001,0.2128924,0.03143920639150286,0.04443121353265822,0.01315018938578186,0.186,0.04524980067531577,0.04470446781876482,0.002045733341690099,0.948,0.04486134101140516,0.04422497013900589,0.0020113295751811207,0.959,0,0,0,863,-78.77697214539599,0.34732017851815766,0.6397702521688751
40,250,2500,0.8,0.8,0.14995432742463768,0.799575,0.80066,0.2179092,0.03363231159851431,0.04426988425824039,0.013950100555527303,0.172,0.04561694029402059,0.04488360722579265,0.002080154561556857,0.958,0.04462802006819054,0.04440100868198581,0.001992754155410342,0.96,0,0,0,883,-75.5069088747395,0.7691367295179857,1.171422742277062
