n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.010013028908637579,0.7995,0.799268,0.1491,0.0035207817181604154,0.049868442152530036,0.491,0.02874752320161819,0.046959943068091196,0.947,0.028698025524193607,0.04652162411664334,0.946,0,0,0,882,-95.38844464945858,124.11586215302948,123.15106091251496
40,250,2500,0.8,0.8,0.020011826910436195,0.799425,0.80022,0.153874,0.0034375044427610727,0.049002857227633485,0.479,0.031504044767176914,0.04632314016639219,0.951,0.03144722214290929,0.04586875861893951,0.952,0,0,0,882,-97.62258387724789,48.221088588900976,48.97058776951337
40,250,2500,0.8,0.8,0.029950095059077805,0.79895,0.79974,0.1585688,0.004575234776275573,0.048811634574414314,0.42,0.03486395350653668,0.04620541249874419,0.942,0.03445631179661127,0.045763927934525175,0.949,0,0,0,890,-97.05822571998209,21.805522230635955,20.587675081452133
40,250,2500,0.8,0.8,0.039991874121814514,0.800975,0.800212,0.1632932,0.006273448553390645,0.047952463302289715,0.396,0.03676494503509405,0.04561896479591538,0.956,0.0363729703650336,0.04514294491997527,0.953,0,0,0,886,-96.39657083129244,9.553853311638328,9.38894485687961
40,250,2500,0.8,0.8,0.04997626335845337,0.803875,0.801668,0.1683036,0.008085068308349999,0.0469080126095585,0.398,0.0393785249969288,0.04491885930705193,0.961,0.03927190836495476,0.044464165422197825,0.965,0,0,0,898,-95.52842763787629,8.995917823640353,8.896678726872798
40,250,2500,0.8,0.8,0.06004853633714793,0.800425,0.801436,0.173522,0.009518860666223067,0.046773089205571064,0.358,0.039968169709599675,0.04493864379881296,0.961,0.03937518568294583,0.044473226049995374,0.961,0,0,0,898,-94.7415086106891,6.293264718266155,6.795056339424128
40,250,2500,0.8,0.8,0.07001591337850442,0.798,0.798612,0.1781988,0.011975351855333383,0.047402156975352196,0.29,0.04218440820410004,0.045577643546721,0.942,0.0414134723361963,0.045100921862887056,0.948,0,0,0,893,-93.87012904979065,-1.5548743791293804,-1.2873505160961234
40,250,2500,0.8,0.8,0.08000050809077303,0.8022,0.799724,0.1826948,0.01430023569439158,0.04637995561881439,0.262,0.04247864418003412,0.044867411981805966,0.947,0.04170123459731744,0.04440263922010266,0.954,0,0,0,884,-92.47278158671233,-0.9107552769547411,-1.2746069093129262
40,250,2500,0.8,0.8,0.08999472365008586,0.800475,0.799664,0.1880636,0.01774554456621237,0.04614382331782814,0.252,0.043645327914998984,0.0449208808049644,0.948,0.042796047396048705,0.04443461235640063,0.953,0,0,0,900,-90.64187167435703,-0.15339684857946212,-0.1452465574267721
40,250,2500,0.8,0.8,0.09999102616110976,0.80195,0.801044,0.1927916,0.020600709834174218,0.045329729457007605,0.245,0.04345735949172515,0.044469622391764094,0.967,0.043016500706522916,0.04399352709310831,0.964,0,0,0,899,-88.0921240517717,0.8303840934053112,1.2489460699021455
40,250,2500,0.8,0.8,0.10998195946364371,0.798925,0.800328,0.1975624,0.022512615662868492,0.04548756031271573,0.214,0.043517808548952444,0.04478285804279765,0.96,0.04247654542091282,0.04429869388870082,0.96,0,0,0,873,-86.56767623867792,-0.19751199449053927,-0.02188771265015828
40,250,2500,0.8,0.8,0.11996015909244344,0.79785,0.8007960000000001,0.2028756,0.026216922461034093,0.04509294082118579,0.226,0.04472989056343233,0.04478868887675936,0.948,0.0438613109930655,0.04430457600323946,0.95,0,0,0,892,-83.61986874437237,1.1632230487883062,1.5670461226631218
40,250,2500,0.8,0.8,0.130005486552786,0.800975,0.801096,0.2075704,0.02863988852975263,0.044554768701322627,0.203,0.044030822285811184,0.04450458181012488,0.959,0.044089964954003975,0.044058802549623646,0.957,0,0,0,881,-80.8513739791013,1.26917711297309,0.9436229280107281
40,250,2500,0.8,0.8,0.1399963391195168,0.800675,0.8001240000000001,0.2128924,0.03143920639150286,0.044431213532658276,0.186,0.04524980067531577,0.04470446781876487,0.948,0.04486134101140516,0.04422497013900594,0.959,0,0,0,863,-78.77697214539599,0.3473201785181575,0.6397702521688753
40,250,2500,0.8,0.8,0.14995432742463768,0.799575,0.80066,0.2179092,0.03363231159851431,0.044269884258240445,0.172,0.04561694029402059,0.0448836072257927,0.958,0.04462802006819054,0.04440100868198586,0.96,0,0,0,883,-75.5069088747395,0.769136729517986,1.1714227422770622
40,250,2500,0.8,0.8,0.15996261543922463,0.80285,0.800112,0.2226604,0.034015271568155155,0.04389156798580451,0.136,0.043183225670398714,0.044679948497973236,0.969,0.04269359844065788,0.04419941782493836,0.969,0,0,0,906,-74.26050942815385,0.07085548323116338,0.01786050425984286
40,250,2500,0.8,0.8,0.1700172154292447,0.8008,0.800196,0.2284472,0.037196993524890636,0.043766964943230485,0.153,0.044743718952083844,0.04490567797705157,0.961,0.044088663617732546,0.04445518846882955,0.965,0,0,0,899,-70.43159250957983,0.29720068448693154,0.332979219651271
40,250,2500,0.8,0.8,0.1799915042262595,0.8005,0.7995920000000001,0.2330536,0.039476388530494004,0.04379978591289941,0.137,0.04684989946685313,0.04531133929142436,0.95,0.046107047022899694,0.04483461944195334,0.95,0,0,0,911,-68.83888792878868,-0.08253833334780432,-0.1697640389574392
