n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,MSE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,MSE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,MSE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.00504188298504486,0.7995,0.799268,0.2007484,0.024560738744211733,0.04557031043342325,7.493279636506948e-4,0.958,0.04211072396914038,0.049435688746440505,0.0023081291744932314,0.846,0.04729937182065471,0.07663451657066647,0.0030115520308135963,0.94,0,0,0,0,240.22833308928705,459.43945522208514,552.7062543042337
40,250,2500,0.8,0.8,0.01001816158507312,0.797525,0.801408,0.2007916,0.025309914718937458,0.04517232693959574,7.219197407813558e-4,0.967,0.045461638817338064,0.04890080186954675,0.0026199046990986567,0.812,0.05151433478716936,0.07705398042877956,0.0034916893985374215,0.93,0,0,0,0,90.37235355511709,235.20196313126743,289.40824959326744
40,250,2500,0.8,0.8,0.01548119387380437,0.802325,0.800524,0.201416,0.025260889046053985,0.044915239786064556,6.470795817907632e-4,0.959,0.045877179808502123,0.04858116092308221,0.002423790021357752,0.848,0.05402482674791273,0.07681580600194025,0.0034806649639058233,0.947,0,0,0,0,20.01927197869392,115.7628460917101,153.52602552050251
40,250,2500,0.8,0.8,0.02003047906963898,0.796175,0.801216,0.2024844,0.026219628188865484,0.04514995330806105,6.868027936852306e-4,0.963,0.045744733604238454,0.04881505242047231,0.0023592619126732344,0.85,0.055464914140729286,0.07766275167481525,0.00360251694628586,0.932,0,0,0,0,0.7296449442288693,81.84688631413833,114.85068766615385
40,250,2500,0.8,0.8,0.02606877557784691,0.802875,0.799292,0.2023856,0.02541901085860336,0.0450360347515485,7.107973457901636e-4,0.953,0.048586525153145876,0.048761117760088124,0.002489222415301888,0.83,0.058670809628726825,0.07856872148344084,0.0039027026137039874,0.945,0,0,0,0,-31.00228286776636,43.89381489208469,82.61951617660117
40,250,2500,0.8,0.8,0.02996476845452988,0.797775,0.800056,0.2032656,0.02601801021444672,0.045283149501504166,7.784706553630583e-4,0.945,0.05049770861733509,0.0489864101998858,0.002695241678165848,0.849,0.05922158138105645,0.07895027145559708,0.003926104716648215,0.948,0,0,0,0,-33.73939829286427,40.56829886406606,68.58977247838985
40,250,2500,0.8,0.8,0.03502411440330111,0.801775,0.8016920000000001,0.2033756,0.028254997055285714,0.044601042780998315,9.565270699564473e-4,0.932,0.05229206431360538,0.04827714800432928,0.00285017431728493,0.82,0.05929601259289559,0.07831392737638161,0.003869374121882953,0.933,0,0,0,0,-36.000194175253434,31.074070460323686,53.93736189192065
40,250,2500,0.8,0.8,0.04084732881479568,0.799675,0.7993560000000001,0.2041888,0.025749446570823693,0.04526670872259554,0.0010847222378824913,0.923,0.051368828550690485,0.049055303129341636,0.0026504412913191844,0.816,0.06201254442679907,0.07941026354047169,0.004072974319637476,0.935,0,0,0,0,-50.312192393863796,9.265330872472722,37.22978698841107
40,250,2500,0.8,0.8,0.04506256806371308,0.801575,0.7995720000000001,0.2045388,0.026772780670158442,0.045102916387578844,0.0013016819042032898,0.906,0.05235131556134542,0.048568422152131564,0.002750143097158636,0.815,0.06370924705690444,0.08007377624620667,0.004296551327620541,0.935,0,0,0,0,-53.702049809151276,7.758578197342004,34.503261446230574
40,250,2500,0.8,0.8,0.05009422135714624,0.8029,0.7997960000000001,0.204822,0.02679545945356373,0.044890176801695866,0.0015503654505704685,0.885,0.05488737369415702,0.04843590228499822,0.003011577348235803,0.825,0.0666083126114243,0.08015897131794024,0.004657745443726541,0.944,0,0,0,0,-57.61790936592541,2.799136744628554,29.97780953287436
40,250,2500,0.8,0.8,0.05560725427592952,0.79865,0.8000200000000001,0.2055888,0.02861444052137865,0.045064341532075475,0.0019108229289759994,0.863,0.05565376455792315,0.04860618857772416,0.003094587071326005,0.826,0.06696762595319153,0.08090104075905878,0.004662139291817978,0.945,0,0,0,0,-59.449734782563745,-1.053063168126335,24.258153541058086
40,250,2500,0.8,0.8,0.06007565651491278,0.798425,0.8006920000000001,0.2060348,0.028379036924812744,0.04498160156621121,0.0021410964034985847,0.841,0.055742779235232194,0.04868257838679852,0.0031307593440636577,0.819,0.06740815169214474,0.08091757162014317,0.004629074367392149,0.933,0,0,0,0,-60.85428457430367,-8.5865181989768,15.770346348705303
40,250,2500,0.8,0.8,0.06429842960283062,0.797225,0.79978,0.2067956,0.02884669204872923,0.04517247294226213,0.0024877385548551702,0.813,0.06068349402707367,0.0487265789438481,0.003691671457331232,0.799,0.07002557635887689,0.08163351914736228,0.004978819026406054,0.943,0,0,0,0,-63.297617462376124,-5.578875407111183,13.922836598144373
40,250,2500,0.8,0.8,0.06992151963279372,0.80215,0.800772,0.207128,0.028891516782654357,0.0445966732796894,0.0028670389924809843,0.788,0.0593020822784455,0.04828109975706459,0.003538308330911868,0.814,0.06928096230738916,0.08130033588974475,0.0048799921713668865,0.939,0,0,0,0,-64.48731218335429,-7.163463850467378,13.180928316396013
40,250,2500,0.8,0.8,0.07501232571151686,0.79915,0.80038,0.20784,0.027638594743794237,0.0448108225321959,0.0034044396070258397,0.766,0.061919480267717264,0.04852547985347986,0.00389239564525245,0.802,0.07204223068547722,0.08231610131435306,0.005260564803065183,0.942,0,0,0,0,-68.51366296586548,-10.514513901099475,11.596705876809963
40,250,2500,0.8,0.8,0.08039777467777835,0.799725,0.800736,0.208796,0.029927701643064006,0.044660013803246974,0.0038506579958799848,0.727,0.062323736288802195,0.04850322938864139,0.0039576395359410856,0.789,0.07525063095498727,0.08284173149202319,0.0057688724292232745,0.946,0,0,0,0,-67.62384133030831,-10.933957636993306,13.156113029407736
40,250,2500,0.8,0.8,0.08574217733555282,0.796575,0.7995720000000001,0.2092256,0.028254112267220226,0.04505545411821748,0.00452435128546229,0.681,0.06397945202410792,0.048813523775386745,0.004201311788755186,0.782,0.07589369050201161,0.08318533064375297,0.005807632503796973,0.945,0,0,0,0,-71.19946395774245,-12.344744748536712,8.533851342140528
40,250,2500,0.8,0.8,0.09208103384099876,0.8002,0.800428,0.2102328,0.029084118043697024,0.044621354110260594,0.0050921294506762185,0.633,0.06275614340258552,0.04821476997402952,0.004095924329544452,0.796,0.07598446313906823,0.083419854095531,0.005825167491335497,0.942,0,0,0,0,-70.77428905431972,-13.802419981051122,8.220847004868277
40,250,2500,0.8,0.8,0.09575424482068376,0.79965,0.799776,0.2105152,0.030534275533348722,0.04479829268698943,0.0057109224423878766,0.573,0.065748507376376,0.04868011363346691,0.00449988522687009,0.787,0.07516628991462959,0.08312465085069863,0.005697661092144518,0.953,0,0,0,0,-72.19943169396754,-14.063422054333245,7.627253129500313
40,250,2500,0.8,0.8,0.09953694033611322,0.800325,0.799488,0.2109356,0.029871266380717573,0.04485880743638762,0.006166726665918447,0.539,0.06648786674106659,0.04868307616918795,0.004676100047549552,0.783,0.07854427246866351,0.08357717828881146,0.006201483583033818,0.938,0,0,0,0,-72.96933380164103,-16.195922944468247,6.229657311112753
40,250,2500,0.8,0.8,0.10422175634263674,0.7989,0.7992600000000001,0.2118356,0.030176251471653703,0.044773245735369886,0.006768883032300565,0.514,0.06749097529252697,0.048635030852467995,0.004925521384657066,0.773,0.07915931278807693,0.08384766496189376,0.006278275983908485,0.941,0,0,0,0,-73.44467441271846,-18.581600198244075,4.109651205715404
40,250,2500,0.8,0.8,0.10906635020616497,0.79805,0.799196,0.2127972,0.03176753980743941,0.04493379763974974,0.00732467883349639,0.483,0.06690138376078882,0.04869580759673154,0.0047951917012516235,0.775,0.07804863112903807,0.08476840444526225,0.006125384920775011,0.953,0,0,0,0,-72.8698478670875,-16.500463899365304,5.790667847355119
40,250,2500,0.8,0.8,0.11322608666585408,0.799625,0.7997000000000001,0.2129456,0.03031905291011246,0.04468057934504216,0.007951379908696746,0.416,0.06758196130270809,0.04873849667730188,0.004917351269767729,0.784,0.08057217654685779,0.08460705541407564,0.006539265338624094,0.933,0,0,0,0,-74.06712446959472,-16.631104443084542,6.4829648480624185
40,250,2500,0.8,0.8,0.1174975152584889,0.80205,0.80154,0.2129712,0.031466249633014934,0.04411724313019989,0.008351519713643561,0.406,0.07062180581779022,0.04793866458698276,0.005325773248956681,0.752,0.0835237919019547,0.08397251059386336,0.007010522361639902,0.927,0,0,0,0,-73.0265155252346,-15.769635248077778,5.467813055992573
40,250,2500,0.8,0.8,0.12366526732079999,0.800575,0.800068,0.2139208,0.030709696028823643,0.04449262025225758,0.00957049255826088,0.331,0.0690699894562254,0.04857532483742966,0.005384141734403619,0.765,0.0806796598719436,0.0845549842655584,0.006506903559971467,0.945,0,0,0,0,-75.11317875219943,-20.10638316677156,1.6582430724113646
