n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,num_negative_var_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.95,0.04995737745866485,0.7963,0.9496279999999999,0.0156328,1.4672883371206585e-4,0.02027187957733442,0,0.036080682183727335,0.023529358605952223,0.594,0.04661989220885974,0.050195464651870254,0.931,0,0,0,0,0,-99.9865527519946,-31.513237266111688,11.891049771684814
40,250,2500,0.8,0.95,0.0600144943974143,0.801325,0.949796,0.0170752,1.1877918711304729e-4,0.019983839038744046,0,0.036666145227169614,0.02362835236467315,0.568,0.04906985593974448,0.050586867309629656,0.904,0,0,0,0,0,-99.99134790313424,-39.268790484384716,3.8009508770303024
40,250,2500,0.8,0.95,0.06998064829448897,0.7981,0.950144,0.019074,6.697714929346507e-4,0.019929960983794345,0,0.04208954751763973,0.024011846009567246,0.572,0.05146506383106249,0.05231548683942823,0.924,0,0,0,0,0,-99.91646796098512,-33.36350673291727,6.454086661146904
40,250,2500,0.8,0.95,0.0799625580864368,0.7996,0.9497359999999999,0.0208044,9.407487292236716e-4,0.019961867243296186,0,0.04539921589027583,0.02447096211146589,0.55,0.053616526671728774,0.05321623182406417,0.918,0,0,0,0,0,-99.88893579400869,-30.546665698107986,5.8857886151740955
40,250,2500,0.8,0.95,0.08999668701131847,0.80025,0.95028,0.0225932,8.970357757436299e-4,0.019768480453187055,0,0.04650139683812114,0.024417427006189638,0.542,0.05676811261474685,0.05426376916687849,0.934,0,0,0,0,0,-99.91927356298386,-30.729847229895064,4.520880806882746
40,250,2500,0.8,0.95,0.10002053976593694,0.80165,0.949944,0.0244088,0.0016646888279092404,0.019764601026998632,0,0.04822966180427993,0.02464492226974484,0.515,0.0582025202238677,0.05493494417294327,0.913,0,0,0,0,0,-99.74551089650089,-32.6359099685306,1.6371000976218801
40,250,2500,0.8,0.95,0.10997246531145215,0.8001,0.9497599999999999,0.0265824,0.0016400110234114727,0.019800976575749408,0,0.04672393315701522,0.025027122439396428,0.546,0.05805377916226691,0.05595497052287364,0.929,0,0,0,0,0,-99.77044644181883,-31.75072988891496,1.4020722914465817
40,250,2500,0.8,0.95,0.11998723251171924,0.80035,0.950252,0.0284072,0.0022466532025022887,0.019660406667485007,0,0.05133109551098759,0.025252999253414156,0.477,0.058067126686979456,0.05711791487809919,0.936,0,0,0,0,0,-99.64050347827452,-30.53539633948664,0.7522456881969399
40,250,2500,0.8,0.95,0.12995955306727694,0.801725,0.9498559999999999,0.0305916,0.0021247910942056025,0.019667485034338336,0,0.05056096773457495,0.02545025476360194,0.493,0.06067465266996917,0.05820912786570681,0.922,0,0,0,0,0,-99.65481810258646,-31.08227345217178,0.7194401558685237
40,250,2500,0.8,0.95,0.13998410904125091,0.79525,0.950064,0.03259,0.00341377175122129,0.019723390310585887,0,0.05210456265044757,0.026343792433232968,0.541,0.061273449204475756,0.05977680517925863,0.936,0,0,0,0,0,-99.34327695585188,-26.71914471006888,4.775086548414841
40,250,2500,0.8,0.95,0.15003070646572855,0.801025,0.949716,0.0350084,0.003945637604835363,0.01964563050482306,0,0.054701197129837384,0.02592135138501727,0.48,0.06281424446859525,0.05966419474936051,0.911,0,0,0,0,0,-99.23726782887698,-28.433831120699136,0.9799555859279508
40,250,2500,0.8,0.95,0.15999664409416536,0.79705,0.95016,0.0369924,0.004693349730617579,0.01958010432658,0,0.053832683210723896,0.026571631456894628,0.511,0.06394923509118279,0.060578213688223366,0.932,0,0,0,0,0,-98.9934354718937,-27.963477268642542,1.589261306082379
40,250,2500,0.8,0.95,0.16999779612198998,0.8027,0.950116,0.0394016,0.005414481419737293,0.019436998083237417,0,0.05390138230215358,0.02676247984024998,0.479,0.06087489354445471,0.06067544859899496,0.942,0,0,0,0,0,-98.7149611190018,-27.37195968246867,0.6962266240579247
40,250,2500,0.8,0.95,0.18001203852080272,0.8014,0.94972,0.0420224,0.006541388336650166,0.019521017460762374,0,0.055227995991803884,0.02720713875459039,0.504,0.0655918963566603,0.061275707441851,0.928,0,0,0,0,0,-98.26560165832933,-27.10447721094776,0.4919676001024888
40,250,2500,0.8,0.95,0.19001789740669497,0.8018,0.95072,0.0445208,0.007969046644882656,0.01925240663889025,0,0.055194114219334095,0.02695656971393304,0.452,0.06313769826245517,0.06192920193132466,0.934,0,0,0,0,0,-97.49920687172285,-26.717459584819398,0.21423496668865083
40,250,2500,0.8,0.95,0.19999465573870512,0.7983750000000001,0.950272,0.0471308,0.009189825419921801,0.019433189410958694,0,0.05698330810441224,0.027735739683260954,0.458,0.06526302739996002,0.06244734324110344,0.944,0,0,0,0,0,-97.13194221084555,-25.798907380295297,1.137184607583797
40,250,2500,0.8,0.99,0.009962338776168237,0.803075,0.989908,0.0027288,0.0011344363515633294,0.0077624514515404345,0.055,0.016067657342389033,0.009916312712199967,0.429,0.023831371791899696,0.019803158694431305,0.5400801603206413,0,0,0,2,0,-96.41346563110328,1.19154685659868,59.77681612954002
40,250,2500,0.8,0.99,0.02003360562730384,0.798575,0.990088,0.0039736,0.001514811209208895,0.007824823390414019,0,0.020266692745108648,0.010832193795481816,0.529,0.027994821782265263,0.024559452630911967,0.699,0,0,0,0,0,-97.28574081643892,-17.443195915110987,24.311388653664753
40,250,2500,0.8,0.99,0.029969062715480235,0.801,0.989528,0.0053736,0.0018877851281164568,0.008112999720676138,0,0.023362547027440624,0.011652713128536015,0.536,0.030278254019914855,0.028242497125194443,0.769,0,0,0,0,1,-97.41450422585191,-21.811360949692723,7.611553412570321
40,250,2500,0.8,0.99,0.039983029117017406,0.802525,0.989708,0.0067412,0.002654366648330273,0.008052871596653365,0,0.026653857586715988,0.012665917522443226,0.515,0.03474557492495212,0.03179165021805062,0.841,0,0,0,0,1,-96.54819283638443,-24.931993959690722,6.65865011947159
40,250,2500,0.8,0.99,0.05003342964458102,0.800525,0.989756,0.0081728,0.003347226109776066,0.008094266301110228,0,0.031391702523936395,0.013503129399863877,0.498,0.03833816989151142,0.034493984567627915,0.861,0,0,0,0,0,-95.8830211574088,-23.184768219301848,5.2480519190340695
40,250,2500,0.8,0.99,0.0600111302262653,0.8034,0.989864,0.0097432,0.004206597108284729,0.008090463041857114,0,0.031969911145799244,0.014031913040006852,0.519,0.0398702682016655,0.0369127463984975,0.889,0,0,0,0,0,-94.96574122345524,-22.182802931132812,4.71860297205226
40,250,2500,0.8,0.99,0.06997716874668955,0.7997,0.990212,0.0112152,0.004949677452198414,0.008049855919116878,0,0.03344588584084841,0.014825140843025808,0.51,0.04119628548271557,0.03963981728738684,0.908,0,0,0,0,0,-93.78882308226761,-22.272460761087526,5.3426889725655435
40,250,2500,0.8,0.99,0.07997763407928506,0.8,0.989936,0.0127976,0.005678789288652361,0.008215600597938341,0,0.03644496442672108,0.015365131149867324,0.483,0.04491776306805785,0.04132606338644179,0.894,0,0,0,0,0,-93.19260839229972,-23.59888618861865,2.194254491545559
40,250,2500,0.8,0.99,0.09002106168050783,0.802925,0.990352,0.0143188,0.006037906597940261,0.008092603620113874,0,0.03600516537064534,0.015764626792118576,0.492,0.04489473900738251,0.04337527112058461,0.92,0,0,0,0,0,-92.18843797025838,-23.365573396350847,2.7054862289576507
40,250,2500,0.8,0.99,0.10001133110934185,0.803925,0.989976,0.0158548,0.006661021118204432,0.00829594950828542,0,0.03893576062544987,0.016494931580713065,0.468,0.04637932900629023,0.04436366496567754,0.903,0,0,0,0,0,-91.6955322844999,-23.332210346289962,0.20121548384390345
40,250,2500,0.8,0.99,0.10997154445305798,0.7996,0.99018,0.0176336,0.007300854639011963,0.008346889398780788,0,0.041277262413420494,0.017255948945192296,0.477,0.050302929290162536,0.04690030573520827,0.91,0,0,0,0,0,-90.39561182343313,-22.290868691208715,2.608551701412399
40,250,2500,0.8,0.99,0.11997304987085759,0.797225,0.990264,0.019502,0.007697598268340598,0.008419020807591406,0,0.04221358981690807,0.01794174854159993,0.511,0.05161772746444098,0.048314885519614464,0.91,0,0,0,0,0,-89.24315176843685,-20.816289773245757,3.382650887712888
40,250,2500,0.8,0.99,0.13002661279297367,0.80025,0.99012,0.0213256,0.008133811992575894,0.008552040040301403,0,0.04332001732793823,0.01834792890683005,0.455,0.05312172068795663,0.049167667725163164,0.915,0,0,0,0,0,-88.61204972270465,-22.167868845555287,1.5509885251030755
40,250,2500,0.8,0.99,0.13999756867857996,0.795275,0.989884,0.0232776,0.008743482107407087,0.008778937330496514,0,0.04507634379614154,0.019266961291782927,0.477,0.05153682807262839,0.05093157302032452,0.928,0,0,0,0,0,-87.89487594032335,-21.828112641970602,1.2722882183292503
40,250,2500,0.8,0.99,0.1499755140369577,0.7988999999999999,0.989828,0.0254172,0.008846332173070223,0.008853724076334946,0,0.04734437500244919,0.019776037011282662,0.503,0.05702078723606816,0.05189590388217016,0.907,0,0,0,0,0,-86.98893858652686,-19.47336860158352,2.875060397519201
40,250,2500,0.8,0.99,0.15996000291611934,0.800025,0.990208,0.0275348,0.009130824501282293,0.00882086605576027,0,0.04689060055574876,0.02014838100452778,0.478,0.05606449707887895,0.05296502756777029,0.92,0,0,0,0,0,-85.86515640740627,-20.186104046924736,2.4481266787648304
40,250,2500,0.8,0.99,0.169961129786515,0.79975,0.989704,0.0294332,0.009192422912683879,0.009101054359639581,0,0.05218113428446959,0.020970262922916497,0.452,0.060109890526376976,0.05438557874668178,0.915,0,0,0,0,0,-85.65233520338336,-20.02460503416893,2.926732235205141
40,250,2500,0.8,0.99,0.1799990267980996,0.800475,0.990052,0.0318908,0.00905205775064923,0.009116460192539082,0,0.0460267211775166,0.021236081279535794,0.466,0.05370844485371221,0.05411834127025906,0.936,0,0,0,0,0,-84.50262208021688,-20.99169459732062,0.1728551415333617
40,250,2500,0.8,0.99,0.18996917288676973,0.7976,0.989672,0.0342328,0.009817956564704362,0.009397086852268085,0,0.0504849240755826,0.02234182842461005,0.477,0.05830843648774432,0.05567871998789743,0.933,0,0,0,0,0,-83.94077735820997,-18.81799164189322,2.6135338457471824
40,250,2500,0.8,0.99,0.20003624392766778,0.7978,0.989684,0.036522399999999997,0.009555626728017241,0.00953480565806532,0,0.04984981027927616,0.022428468967115055,0.461,0.056601244771550166,0.05630062370766395,0.941,0,0,0,0,0,-83.27100579506121,-19.555538919737714,1.862100606863583
40,250,2500,0.99,0.8,0.009961634478166486,0.99025,0.800672,0.0502244,0,0.03869645022258752,0,0.022854196640886785,0.037666422869980606,0.637,0.04437223340533983,0.06351041327769841,0.929,0,0,0,0,0,-100,0.6957220596137215,241.7036810849015
40,250,2500,0.99,0.8,0.019961945449694048,0.9897,0.7992640000000001,0.0528684,0,0.03889116865642438,0,0.023862809723042236,0.037747465908853105,0.605,0.04416963546925373,0.06350404840698261,0.93,0,0,0,0,0,-100,-40.73259003470518,85.18006112222474
40,250,2500,0.99,0.8,0.02998116612942079,0.990025,0.8004760000000001,0.055868,0,0.03854828841927858,0,0.030343700659077776,0.0371812783986955,0.612,0.05143373807861496,0.06368103710626997,0.923,0,0,0,0,0,-100,-45.691707262959206,54.48430313015043
40,250,2500,0.99,0.8,0.040005157943322545,0.9899249999999999,0.800312,0.05928,0,0.03848200697865679,0,0.028090725818366774,0.037046401386766625,0.615,0.04848024801254448,0.06341173388577977,0.951,0,0,0,0,0,-100,-58.90161117747111,26.660708747930048
40,250,2500,0.99,0.8,0.05002037999033633,0.9893,0.80166,0.0622684,0,0.03818586250312957,0,0.0329920726826337,0.036789223786433255,0.59,0.05394457992473147,0.06342158610496149,0.928,0,0,0,0,0,-100,-57.21801282134797,17.979397163418753
40,250,2500,0.99,0.8,0.06001392031975722,0.9907,0.7992480000000001,0.0660228,0,0.0383738938005763,0,0.03395667312530211,0.03692843379097118,0.563,0.05473410408041822,0.06355794764528297,0.941,0,0,0,0,0,-100,-61.52689411293732,7.270340976425225
40,250,2500,0.99,0.8,0.06997351620553897,0.989425,0.799868,0.0691848,0,0.03823229322531679,0,0.037276612429291374,0.03664158521807962,0.579,0.05680213460632851,0.0631624597311675,0.946,0,0,0,0,0,-100,-57.719942512711164,5.18894049543947
40,250,2500,0.99,0.8,0.07997354765015678,0.990125,0.799212,0.0730308,0,0.038154306489342045,0,0.04187028424485089,0.036319672487304167,0.573,0.05792488496017385,0.06339626752589422,0.93,0,0,0,0,0,-100,-54.24981538118698,8.476119129818164
40,250,2500,0.99,0.8,0.09000602289687538,0.9896,0.80052,0.0767192,0,0.03783412733289836,0,0.04434377318273163,0.036022331297643255,0.545,0.05891545371810128,0.062933714073943825,0.936,0,0,0,0,1,-100,-54.087145566868195,2.6756622436070128
40,250,2500,0.99,0.8,0.09997537766670828,0.990575,0.800184,0.0807036,0,0.03768556905827374,0,0.04527707215362056,0.0359271034847589,0.523,0.05952636317911543,0.06241547663414855,0.944,0,0,0,0,0,-100,-54.42751742298924,-1.4798582358348138
40,250,2500,0.99,0.8,0.1099604548745273,0.990425,0.8001280000000001,0.084724,0,0.0375828909685705,0,0.04730019796716923,0.03561266869819167,0.547,0.05963768982250157,0.0625162009508954,0.948,0,0,0,0,0,-100,-51.00572279257851,1.6324801376622597
40,250,2500,0.99,0.8,0.11995446032364315,0.989675,0.799604,0.0888464,0,0.03756862427804711,0,0.04879007150157159,0.03531179420799127,0.506,0.061651506790493076,0.06232662347758963,0.94,0,0,0,0,0,-100,-50.38172601818108,0.8565877960957475
40,250,2500,0.99,0.8,0.13004141778708342,0.989875,0.797988,0.0932308,0,0.0376617040478121,0,0.05394532570355749,0.03527198613332152,0.483,0.06291908395791469,0.06184867593980788,0.934,0,0,0,0,0,-100,-48.2055251689232,-0.5447487029437985
40,250,2500,0.99,0.8,0.14003508357551434,0.9899749999999999,0.801224,0.0977084,0,0.03697440591818237,0,0.05476818514651282,0.03477662745990395,0.496,0.06502098198289237,0.06140444873565071,0.919,0,0,0,0,0,-100,-45.318906740869416,1.0350665784130733
40,250,2500,0.99,0.8,0.15001937707570753,0.990525,0.798664,0.1021428,0,0.037212090647420266,0,0.05430204419493524,0.03465898288642465,0.465,0.060861364392934166,0.060946770854812087,0.937,0,0,0,0,1,-100,-44.83633682430253,-2.1436601913540314
40,250,2500,0.99,0.8,0.15998889804896388,0.99005,0.799888,0.1069556,0,0.03688506854650783,0,0.055307878011623596,0.0346087730881121,0.476,0.06156794713934069,0.060595609107009125,0.936,0,0,0,0,0,-100,-42.7032135082372,-1.2571869116382166
40,250,2500,0.99,0.8,0.17003188996036295,0.9899,0.799304,0.1117436,0,0.03683382599854215,0,0.05749953229824616,0.03429074857325021,0.435,0.061392200523775906,0.06057754630735083,0.935,0,0,0,0,0,-99.99999999999999,-43.091026775965545,-2.9915033322567566
40,250,2500,0.99,0.8,0.17995757972116297,0.9905,0.7999160000000001,0.1166696,0,0.03650252210387721,0,0.05533819625290528,0.03373810422099935,0.462,0.060022706365854134,0.059437444593881276,0.939,0,0,0,0,0,-100,-38.259077177215815,0.9690025098137043
40,250,2500,0.99,0.8,0.1900432706157481,0.98995,0.801428,0.1218256,2.421563974002784e-4,0.03612618994946611,0,0.05914243224279572,0.03350682585799767,0.474,0.061369447080609665,0.0585696789098102,0.925,0,0,0,0,0,-99.99597057152677,-36.67665767323003,0.7903146379418894
40,250,2500,0.99,0.8,0.20000282509421055,0.989075,0.800944,0.1271428,3.3923649175531835e-4,0.036047514771452814,0,0.05850631153593331,0.03359043347369483,0.434,0.06114100727561445,0.058936213508742355,0.936,0,0,0,0,0,-99.99273581066838,-36.75619741740812,-0.9697071252453628
40,250,2500,0.99,0.95,0.009958737113841733,0.990025,0.9501759999999999,0.010051599999999999,0,0.015327307512205032,0.009,0.018349740399636626,0.017517065171754168,0.671,0.02578650659222272,0.033915889379401286,0.896,0,0,0,0,0,-100,7.7460855508981235,98.73469909131407
40,250,2500,0.99,0.95,0.019963439437356022,0.990225,0.950032,0.011726,1.1821598729601574e-4,0.015355136633028756,0,0.023211254052506926,0.017766623606865935,0.618,0.030996628276509522,0.036129179539049976,0.911,0,0,0,0,0,-99.98127417988898,-17.235762917100093,41.84051518338397
40,250,2500,0.99,0.95,0.030008242402793095,0.98935,0.950552,0.0137148,1.3738399942199062e-4,0.015274354621143656,0,0.026343631020503876,0.017913927459245988,0.604,0.035293599814532436,0.03773597881037372,0.901,0,0,0,0,0,-99.98203652318904,-28.988404058469538,22.344572481410953
40,250,2500,0.99,0.95,0.0400077207167823,0.99,0.94958,0.0156596,2.570957447291082e-5,0.015433045217223674,0,0.028757642915388553,0.018323487096760308,0.6,0.03747259178163446,0.03928144951745963,0.906,0,0,0,0,0,-99.99796787191195,-30.297364084119824,13.93302250274491
40,250,2500,0.99,0.95,0.050029825446645616,0.990325,0.9490679999999999,0.0176868,5.520059543342733e-4,0.015505546393747745,0,0.030772276824861628,0.018511572744432044,0.559,0.04000497491876179,0.040328685998015874,0.91,0,0,0,0,0,-99.9231314609769,-37.745567115306464,3.504962459063208
40,250,2500,0.99,0.95,0.059980852152406644,0.990225,0.950116,0.0197336,7.433719150165131e-4,0.015314166845747624,0,0.032279978725602836,0.01846982887092447,0.542,0.040547102954338145,0.041106812747261676,0.896,0,0,0,0,0,-99.89160149301452,-36.97038598384327,-0.6765105678108708
40,250,2500,0.99,0.95,0.0699739706154342,0.990125,0.9498719999999999,0.0219904,5.494456025644631e-4,0.015373235396382141,0,0.03383237881681462,0.01859468428427405,0.532,0.042039131924614524,0.042066310448870055,0.915,0,0,0,0,0,-99.9242038766476,-36.668271974623764,-1.127715596217577
40,250,2500,0.99,0.95,0.07999593798658908,0.990625,0.949936,0.024456,6.729877262253987e-4,0.015347807481687662,0,0.03755881242406849,0.018980344155834643,0.513,0.04614709329652108,0.04303945391742234,0.906,0,0,0,0,0,-99.90270760175929,-33.67103843795158,-0.5759369465429564
40,250,2500,0.99,0.95,0.08995416243436939,0.990075,0.9496279999999999,0.0265668,0.0011434877998663991,0.015403479612232934,0,0.038440982955232225,0.019148478905031564,0.485,0.04602044793078028,0.04403186840802326,0.918,0,0,0,0,0,-99.81480155797111,-33.42755153766841,0.12397330016080993
40,250,2500,0.99,0.95,0.09996972619315025,0.99085,0.949836,0.02947,0.0017182016614049973,0.015355896821358376,0,0.04039441084938973,0.01913615868813345,0.499,0.04736448818276364,0.04493352015387129,0.907,0,0,0,0,0,-99.66655269011646,-29.577846899177636,0.35144059118929927
40,250,2500,0.99,0.95,0.10998219188455895,0.990175,0.9496,0.0320376,0.0021689914073383235,0.01540071050889769,0,0.04142181675877605,0.01936726320546943,0.471,0.04765456888562343,0.045469285509303764,0.918,0,0,0,0,0,-99.53072953466766,-33.265951236622996,-2.3834319758126394
40,250,2500,0.99,0.95,0.12004669125186263,0.990175,0.9502039999999999,0.0350132,0.003130654662349124,0.015293366189259881,0,0.04199915041839905,0.019270607206599878,0.47,0.0474876639506466,0.04598617444314026,0.925,0,0,0,0,0,-99.14568211574829,-27.772769463778832,0.8378249478929075
40,250,2500,0.99,0.95,0.1300007158188294,0.990525,0.9501919999999999,0.0377636,0.004109641949388578,0.015282215574660217,0,0.041781683091718036,0.019351137233518608,0.444,0.04840684293732783,0.04635822348773471,0.927,0,0,0,0,0,-98.80427398049444,-27.666522114866282,0.2835834748562734
40,250,2500,0.99,0.95,0.14003264582379682,0.98965,0.950036,0.0408964,0.005012224844197995,0.015324924973157971,0,0.043118230172450894,0.019222893983538287,0.463,0.04908078046577582,0.04684991290151145,0.929,0,0,0,0,0,-98.36505609543237,-27.06931711298381,0.14922474292899915
40,250,2500,0.99,0.95,0.14998727794680702,0.9899749999999999,0.950172,0.0438236,0.006305387768810853,0.015286421943833473,0,0.04260189725130248,0.01944054991834453,0.418,0.0493564668721142,0.047483694567239325,0.935,0,0,0,0,0,-97.70742281181563,-28.456038221254108,-1.9994446507882666
40,250,2500,0.99,0.95,0.15995318682965196,0.990425,0.94988,0.04694,0.0075665655600624495,0.015325996393481322,0,0.044908943015215426,0.01963541411168826,0.424,0.049747589055435804,0.047371294240131485,0.927,0,0,0,0,0,-97.0906635667567,-25.938631900499548,-0.5123769139610277
