n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,sims_w_positivity,hat_pi_SRG_restriction,n_sims
40,250,2500,0.99,0.8,0.03019517365360694,-55.492658006655184,NaN,61.63376378731295,0,0,0,0,-1.1984763220141172,NA
40,250,2500,0.99,0.8,0.03969418411945516,-65.45505012122716,NaN,46.85082378546747,0,0,0,0,-14.262766960303276,NA
40,250,2500,0.99,0.8,0.04956295670523345,-71.63175555744594,NaN,39.74950649455349,0,0,0,0,-17.12141659454791,NA
40,250,2500,0.99,0.8,0.060451288744325975,-76.31495684714889,NaN,28.29496196101463,0,0,0,0,-24.97031230836002,NA
40,250,2500,0.99,0.8,0.06972801822541722,-80.4719989589048,NaN,21.342906951389075,0,0,0,0,-30.259780068446037,NA
40,250,2500,0.99,0.8,0.0820754530794618,-82.0591473680227,NaN,13.625381688589611,0,0,0,0,-32.971106412613366,NA
40,250,2500,0.99,0.8,0.09096698904891533,-85.11302532602534,NaN,13.166988050641985,0,0,0,0,-35.85449943515079,NA
40,250,2500,0.99,0.8,0.09979329355484201,-86.04777598894303,NaN,6.6164919369107595,0,0,0,0,-38.719340281663975,NA
40,250,2500,0.99,0.8,0.11166570402924707,-86.91733149411928,NaN,8.89162839577663,0,0,0,0,-38.15922601772504,NA
40,250,2500,0.99,0.8,0.12009494391924055,-87.75571754600813,NaN,1.6313805843226477,0,0,0,0,-42.782957120221695,NA
40,250,2500,0.99,0.8,0.12892777914354636,-88.20890837546183,NaN,3.0153298148086773,0,0,0,0,-42.514525604484085,NA
40,250,2500,0.99,0.8,0.13815330303559484,-89.47344277402073,NaN,5.437707108588365,0,0,0,0,-40.24968557394022,NA
40,250,2500,0.99,0.8,0.15070892038993944,-88.4515881408114,NaN,4.5706818266031775,0,0,0,0,-39.87830108503957,NA
40,250,2500,0.99,0.8,0.15975373504705917,-88.92912897822895,NaN,0.9199954356557789,0,0,0,0,-42.422933370697294,NA
40,250,2500,0.99,0.8,0.17011870464146817,-90.22943343522915,NaN,-0.04696839956947664,0,0,0,0,-44.474148105024526,NA
40,250,2500,0.99,0.8,0.18078997708607034,-89.94770891719543,NaN,2.3360627973485455,0,0,0,0,-41.94937115634484,NA
40,250,2500,0.99,0.8,0.18952788589141298,-90.86434379933142,NaN,-0.9060803110165951,0,0,0,0,-42.47353381562333,NA
40,250,2500,0.99,0.8,0.20067460402269593,-91.12462612213652,NaN,-2.463523841544665,0,0,0,0,-44.570746929351,NA
40,250,2500,0.99,0.95,0.01060163975242771,-41.0776433115609,NaN,135.962238424302,0,0,0,0,42.701625084775735,NA
40,250,2500,0.99,0.95,0.02077070959865541,-68.77616745015311,NaN,56.299410767587,0,0,0,0,-9.295165008529723,NA
40,250,2500,0.99,0.95,0.03019517365360694,-78.49593478956727,NaN,32.64840401789327,0,0,0,0,-23.906127163131217,NA
40,250,2500,0.99,0.95,0.03969418411945516,-83.23463356987239,NaN,17.776680064760484,0,0,0,0,-31.84266991943474,NA
40,250,2500,0.99,0.95,0.04956295670523345,-85.61320033488124,NaN,17.866889191933236,0,0,0,0,-34.762962377722566,NA
40,250,2500,0.99,0.95,0.060451288744325975,-88.66333837732014,NaN,9.857459615739462,0,0,0,0,-38.410136928779394,NA
40,250,2500,0.99,0.95,0.06972801822541722,-89.49869279584583,NaN,3.7940620094171837,0,0,0,0,-40.6057920375053,NA
40,250,2500,0.99,0.95,0.0820754530794618,-90.89861292374853,NaN,6.193669937619545,0,0,0,0,-41.98293586665132,NA
40,250,2500,0.99,0.95,0.09096698904891533,-91.69859201065728,NaN,-0.0015285772035447843,0,0,0,0,-45.125957085356575,NA
40,250,2500,0.99,0.95,0.09979329355484201,-92.28426800506462,NaN,2.9938458503575376,0,0,0,0,-42.61930372001885,NA
40,250,2500,0.99,0.95,0.11166570402924707,-92.613519926938,NaN,4.7842541167671895,0,0,0,0,-41.64180428335778,NA
40,250,2500,0.99,0.95,0.12009494391924055,-92.75613177827717,NaN,-2.965935826926503,0,0,0,0,-45.64715101031793,NA
40,250,2500,0.99,0.95,0.12892777914354636,-93.4665495720131,NaN,-2.5528007495172833,0,0,0,0,-44.00356447328118,NA
40,250,2500,0.99,0.95,0.13815330303559484,-93.05122628409434,NaN,1.287654127462299,0,0,0,0,-42.83519067013773,NA
40,250,2500,0.99,0.95,0.15070892038993944,-93.88921814251334,NaN,0.8141818566258102,0,0,0,0,-42.86486405985998,NA
40,250,2500,0.99,0.95,0.15975373504705917,-93.69104461863462,NaN,0.1217694088568096,0,0,0,0,-44.337047027068365,NA
40,250,2500,0.99,0.95,0.17011870464146817,-93.69025124195015,NaN,2.1810763042554564,0,0,0,0,-41.856581483923705,NA
40,250,2500,0.99,0.95,0.18078997708607034,-94.01905156669199,NaN,0.9212423742343162,0,0,0,0,-43.09759566732439,NA
40,250,2500,0.99,0.95,0.18952788589141298,-93.7391257955839,NaN,1.9902506301970635,0,0,0,0,-42.406805011281996,NA
40,250,2500,0.99,0.95,0.20067460402269593,-94.29969655985686,NaN,0.48480771117220856,0,0,0,0,-43.65640892603921,NA
40,250,2500,0.99,0.99,0.01060163975242771,-73.12781803403969,NaN,41.26039060708232,0,0,0,0,-14.377336789680575,NA
40,250,2500,0.99,0.99,0.02077070959865541,-85.75218567202,NaN,17.84013310343376,0,0,0,0,-33.12042575047544,NA
40,250,2500,0.99,0.99,0.03019517365360694,-89.54586847378712,NaN,13.087148953438632,0,0,0,0,-34.79529075834393,NA
40,250,2500,0.99,0.99,0.03969418411945516,-91.58182681872155,NaN,1.4933263610579248,0,0,0,0,-42.91403560830383,NA
40,250,2500,0.99,0.99,0.04956295670523345,-93.38688879194366,NaN,-1.2220076695272937,0,0,0,0,-45.51040353103922,NA
40,250,2500,0.99,0.99,0.060451288744325975,-93.87433518550966,NaN,1.2861122584149995,0,0,0,0,-44.781250294207176,NA
40,250,2500,0.99,0.99,0.06972801822541722,-94.32022239692556,NaN,2.166888615845099,0,0,0,0,-42.08761046943299,NA
40,250,2500,0.99,0.99,0.0820754530794618,-94.84517634533029,NaN,-5.549969656443479,0,0,0,0,-47.07445502531155,NA
40,250,2500,0.99,0.99,0.09096698904891533,-94.92933796815974,NaN,-1.1756820363604787,0,0,0,0,-44.578870186358955,NA
40,250,2500,0.99,0.99,0.09979329355484201,-95.06583613254435,NaN,-3.7084782954498157,0,0,0,0,-45.940600348389445,NA
40,250,2500,0.99,0.99,0.11166570402924707,-95.04322733868855,NaN,-0.49464647069436474,0,0,0,0,-43.72439661544855,NA
40,250,2500,0.99,0.99,0.12009494391924055,-95.36350849316096,NaN,-2.7686086902860993,0,0,0,0,-45.36382772361519,NA
40,250,2500,0.99,0.99,0.12892777914354636,-95.31697541680884,NaN,-2.3128109943598694,0,0,0,0,-45.249666414164786,NA
40,250,2500,0.99,0.99,0.13815330303559484,-95.38552193305475,NaN,0.6282417713150973,0,0,0,0,-43.179797212365,NA
40,250,2500,0.99,0.99,0.15070892038993944,-95.40379812116709,NaN,-0.3243015282248683,0,0,0,0,-43.58778078061163,NA
40,250,2500,0.99,0.99,0.15975373504705917,-95.54555236776646,NaN,-0.6773578486141074,0,0,0,0,-44.33840407951119,NA
40,250,2500,0.99,0.99,0.17011870464146817,-95.30209148115118,NaN,-1.2827468215876319,0,0,0,0,-43.725680283858715,NA
40,250,2500,0.99,0.99,0.18078997708607034,-95.32616120110819,NaN,0.4409286765522505,0,0,0,0,-43.39402930715032,NA
40,250,2500,0.99,0.99,0.18952788589141298,-95.39136021735689,NaN,-1.7730057041043645,0,0,0,0,-44.22776054787587,NA
40,250,2500,0.99,0.99,0.20067460402269593,-95.18705478639238,NaN,0.2283150320934376,0,0,0,0,-42.677854130845546,NA
